Cluster,Gene,Score,Adjusted p-value
0,ITM2C,-3.8052537,0.008316344520472222
0,LIG1,-3.8130105,0.008112373987215883
0,SLC40A1,-3.8451035,0.007215284245981797
0,TALDO1,-3.8543406,0.006994733597584796
0,CTSZ,-3.8815188,0.006320602383966882
0,NME4,-3.9180524,0.005509808351607574
0,CALM2,-3.9281778,0.005319392179614473
0,APLP2,-3.9321449,0.005250448048289729
0,FECH,-3.9441056,0.005047594212513195
0,EPB42,-3.9491386,0.004959985486185409
0,UROD,-3.9515073,0.004945850588502201
0,HEMGN,-3.9589088,0.004812077580786779
0,DDX21,-4.00089,0.004181382443533141
0,DEK,-4.0152783,0.003963434693875246
0,SPTB,-4.0228577,0.0038666239822878587
0,MKI67,-4.0272393,0.0038095084703125203
0,MCM5,-4.039911,0.0036230009032883004
0,EEF1B2,-4.0591545,0.003375079093609734
0,BNIP3L,-4.0641284,0.003316528188228578
0,CREG1,-4.069694,0.0032564800476766074
0,METAP2,-4.0891156,0.003036705894739644
0,NCOA4,-4.0962806,0.0029557822237737783
0,ANP32E,-4.1254716,0.0026566007612266055
0,YBX1,-4.2237635,0.0017674019787035124
0,MBOAT2,-4.2270794,0.0017487042140060705
0,HMGN1,-4.227849,0.0017487042140060705
0,ALAS2,-4.228678,0.0017487042140060705
0,NFE2,-4.256745,0.0015840768878754583
0,GNAQ,-4.258758,0.0015765600347476582
0,CHCHD2,-4.284456,0.0014169868388885201
0,MCM2,-4.3075485,0.0012823825173078902
0,TOP1,-4.3091474,0.0012786598531306502
0,TXNDC5,-4.379728,0.000969063660932978
0,RACK1,-4.4126496,0.0008365390134254105
0,FTL,-4.4224787,0.0008066939905931585
0,PRKAR2B,-4.4438543,0.0007407155787867494
0,RNF130,-4.4768353,0.0006440470914494754
0,CTSB,-4.480388,0.0006394513283236356
0,CD36,-4.481276,0.0006394513283236356
0,CST3,-4.5311327,0.000520876061264376
0,SERP1,-4.585963,0.0004092750231657885
0,H3F3A,-4.6034303,0.0003782901126049665
0,HIST1H2BH,-4.6874523,0.0002583241136564743
0,MYB,-4.696452,0.00024849114815505695
0,HNRNPA2B1,-4.705334,0.00023915908810740594
0,SPI1,-4.7058077,0.00023915908810740594
0,NUCB2,-4.7905993,0.0001655765244458405
0,CA1,-4.7987113,0.00015989381651249494
0,LMNA,-4.8009024,0.00015989381651249494
0,TFRC,-4.8289094,0.00014138564943995253
0,TUBB,-4.8761015,0.00011207723150921272
0,EIF3A,-4.881371,0.00010975355837792615
0,HMBS,-4.9325895,8.653876266825337e-05
0,BSG,-4.9653335,7.491348370164897e-05
0,AIF1,-4.9745708,7.186384831853923e-05
0,GLUL,-4.981558,6.99127423052331e-05
0,LMO2,-4.986472,6.883634981736872e-05
0,LMNB1,-5.03325,5.60729595114214e-05
0,SLC25A39,-5.0784874,4.481615940874672e-05
0,LYZ,-5.1670094,2.8967011758821993e-05
0,MYC,-5.1919374,2.633867028100015e-05
0,BLVRB,-5.272525,1.7701934325015307e-05
0,HMGB2,-5.4525886,7.100754695317118e-06
0,MPP1,-5.939903,4.80374455418781e-07
0,TYMS,-6.0309114,2.8528427083496744e-07
0,H1F0,-6.147973,1.414431827737889e-07
0,HBA2,-6.152947,1.384607067446909e-07
