C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score
TGS1,0.063270785,0.0008951943852533404,3.6972682,PPM1A,0.1381254,1.0,0.21038356,ADH7,-16.050108,1.0,-0.0017617292,ILK,0.035342988,0.820818395241772,1.1675328,GPN1,0.239242,0.5196319788681517,1.2409835,KLHL31,-16.620708,1.0,-0.003918294,ZNF326,0.04743934,5.053212999138995e-07,5.2956786,GOLGA6L6,5.4631186,1.0,0.039697066,WDR72,-16.043629,1.0,-0.0049837274,ZNF729,0.0,1.0,0.0,MACO1,0.1997857,1.0,0.23550814,CCDC38,-15.644237,1.0,-0.010277601,LLGL1,1.1788551,1.0,0.66648585,SIRT3,-0.2534077,1.0,0.5857161,GIN1,0.54502654,1.0,0.19488426,ZSCAN10,-14.353595,1.0,-0.0014145592,CACNA1S,-17.106045,1.0,-0.0005758961
PPARA,0.24175729,0.0008973697032936997,3.6965942,SAYSD1,0.5270011,1.0,0.21024129,MYL2,-14.739628,1.0,-0.0017617292,HDAC6,0.19021522,0.8212753698405837,1.1669726,MAK16,0.2949229,0.5197526122861761,1.240721,HAO1,-15.958158,1.0,-0.003918294,ATRN,0.44448417,5.110722402468489e-07,5.293567,NCCRP1,2.8439186,1.0,0.039697066,KRT31,-17.789936,1.0,-0.0049837274,FABP9,0.0,1.0,0.0,ZNF570,1.0153542,1.0,0.23548494,HMX1,-17.259445,1.0,-0.010277601,ZNF154,3.7464252,1.0,0.66609216,PCYT2,-0.048444714,1.0,0.5855034,LMTK2,0.017032897,1.0,0.19458696,APOL5,-15.67879,1.0,-0.0014145592,TBATA,-15.172564,1.0,-0.0005758961
CMTR1,0.35053557,0.0009014722579595762,3.6953778,GRPEL2,0.7054928,1.0,0.20983091,ADH1A,-16.050108,1.0,-0.0017617292,ZC2HC1A,0.065910846,0.8222527293212418,1.1659249,MYCBP,0.34820557,0.5197526122861761,1.2406931,SEZ6L,-16.10716,1.0,-0.003918294,BORCS7,0.19424109,5.136220754345762e-07,5.2926145,PDYN,4.2008886,1.0,0.039697066,CCL19,-17.411516,1.0,-0.0049837274,PMP2,0.0,1.0,0.0,ZNF346,0.6707547,1.0,0.2352529,ATP13A5,-16.67615,1.0,-0.010277601,ZNF414,0.17085803,1.0,0.6658953,TRIM69,0.77354836,1.0,0.58507794,POLR2B,0.076019034,1.0,0.19409147,CLDN19,-16.47647,1.0,-0.0014145592,ADGRL3,-15.60296,1.0,-0.0005758961
SLC38A9,0.67077917,0.0009047799767637993,3.6943896,TEAD2,0.48942116,1.0,0.209716,ENO4,-14.527404,1.0,-0.0017617292,GORAB,0.417142,0.8222527293212418,1.1658063,MOB1B,0.51473033,0.5203181196812652,1.2399781,CLDN19,-16.538773,1.0,-0.003918294,OMA1,0.16927172,5.156702146526953e-07,5.291844,ACTL7B,3.9092445,1.0,0.039697066,SSPO,-17.217878,1.0,-0.0049837274,SLC22A11,0.0,1.0,0.0,GCFC2,0.5177284,1.0,0.23507887,CYP2C8,-17.530306,1.0,-0.010277601,IVD,0.70145154,1.0,0.6655263,AZIN2,0.91266423,1.0,0.5850354,HOXB7,-0.03212742,1.0,0.19380318,MAL2,-15.399889,1.0,-0.0014145592,NHLH2,-16.56096,1.0,-0.0005758961
AKT1S1,0.39851496,0.000906470787437505,3.6938574,GALNT11,0.21015531,1.0,0.2093275,KCNK18,-14.2315035,1.0,-0.0017617292,RAB8A,-0.070650525,0.8251216316553811,1.1632563,PIFO,2.4446197,0.5203181196812652,1.2399055,PIWIL3,-15.435421,1.0,-0.003918294,UBE2D4,0.60617346,5.184805296646587e-07,5.290807,DISP3,3.525731,1.0,0.039697066,PLCXD3,-17.774199,1.0,-0.0049837274,CBLC,0.0,1.0,0.0,TMSB4Y,-0.39935943,1.0,0.23457998,LRRC4C,-17.964977,1.0,-0.010277601,PHC3,0.5897525,1.0,0.66547704,EFNA1,3.3836699,1.0,0.584695,PCYT1B,1.6945138,1.0,0.19330767,NMBR,-16.04486,1.0,-0.0014145592,SLC22A8,-17.502508,1.0,-0.0005758961
PAK2,-0.0033937676,0.0009072053180528377,3.693594,SLC25A16,0.30184653,1.0,0.20911412,GABRR3,-14.9458,1.0,-0.0017617292,GIMAP2,0.38037592,0.8254801768745635,1.1626567,CERCAM,0.4449402,0.5222863061142278,1.2375542,MUC16,-14.76865,1.0,-0.003918294,DEPDC5,0.3189205,5.18911944971907e-07,5.2905874,OR2C1,3.586905,1.0,0.039697066,ROS1,-17.187054,1.0,-0.0049837274,FOXN4,0.0,1.0,0.0,ABHD17C,0.8195043,1.0,0.2340695,RFPL4A,-16.40368,1.0,-0.010277601,DUSP22,0.96201557,1.0,0.6652556,ACSS3,2.6427267,1.0,0.5845248,COMMD2,0.1329252,1.0,0.19300136,GRXCR1,-16.403015,1.0,-0.0014145592,LCN10,-17.600004,1.0,-0.0005758961
DHDH,1.7693132,0.0009175394182604262,3.6906493,RBKS,0.062193178,1.0,0.20887336,IFITM5,-15.844315,1.0,-0.0017617292,MGAT5,-0.0051077176,0.8257944152884433,1.162202,IFT81,1.4621292,0.5230291784287535,1.2365712,OR1M1,-17.167093,1.0,-0.003918294,EIF1AY,-0.007293644,5.18911944971907e-07,5.290569,GRM4,4.548986,1.0,0.039697066,FOXL1,-17.252722,1.0,-0.0049837274,OR5AK2,0.0,1.0,0.0,TMEM175,0.16536264,1.0,0.23388387,PLEKHG4B,-16.330599,1.0,-0.010277601,PRPF39,0.29794797,1.0,0.66500956,ANKRD52,0.04703772,1.0,0.58443975,MTA3,-0.21703576,1.0,0.19180316,KLF18,-16.604092,1.0,-0.0014145592,MCCD1,-17.096807,1.0,-0.0005758961
ARPC1B,0.11638369,0.0009175394182604262,3.6905985,POU2F2,0.54282594,1.0,0.20831524,PKP3,-17.631529,1.0,-0.0017617292,CARD6,0.32942116,0.8268566460668354,1.1610883,RTL5,1.4052728,0.5235771578654836,1.2357613,NKD2,-15.05046,1.0,-0.003918294,ZNF664,0.29422268,5.190283941226281e-07,5.290485,CFAP99,1.2045838,1.0,0.039686505,PCDHB5,-14.367688,1.0,-0.0049837274,SH3GL3,0.0,1.0,0.0,VCP,0.23502491,1.0,0.23383746,C4B,-16.800074,1.0,-0.010277601,PABPC4,0.34507978,1.0,0.6648619,KREMEN1,-0.32071602,1.0,0.5841632,EPG5,0.10034747,1.0,0.19129865,MALRD1,-16.149836,1.0,-0.0014145592,FCGBP,-15.723637,1.0,-0.0005758961
DYNC1LI1,-0.09481809,0.0009260524037422999,3.6881912,ZNF341,-0.05245229,1.0,0.20775712,OR51C1P,-16.050108,1.0,-0.0017617292,FICD,0.23319177,0.8302321522968124,1.1581758,RNF216,1.0125792,0.5243560942279658,1.2347839,EVX2,-16.393707,1.0,-0.003918294,BLZF1,-0.092517085,5.19848044013839e-07,5.290153,CCL19,2.0818753,1.0,0.039686505,FAM151A,-16.82493,1.0,-0.0049837274,MYRFL,0.0,1.0,0.0,TEAD4,1.7972715,1.0,0.23344299,NYAP1,-16.965122,1.0,-0.010277601,COX7A2,0.51043034,1.0,0.6648373,UFL1,-0.6115594,1.0,0.5839292,ARL11,0.5640891,1.0,0.1908572,TM4SF20,-17.26972,1.0,-0.0014145592,SYT2,-16.277304,1.0,-0.0005758961
IL12RB1,0.9424872,0.000927724887155148,3.6876743,FOXP2,0.7675414,1.0,0.20725371,IL22,-17.062775,1.0,-0.0017617292,FCHO1,0.2706573,0.8302940800834853,1.1579518,SNAPC2,0.51969177,0.5266621052014981,1.2320695,FAM24A,-15.906508,1.0,-0.003918294,CCNYL1,0.15278958,5.231076090954532e-07,5.2889667,PGA5,0.73270804,1.0,0.039686505,F7,-16.27218,1.0,-0.0049837274,MAGEA11,0.0,1.0,0.0,RASSF1,-0.06561965,1.0,0.23300211,FANCD2OS,-16.621046,1.0,-0.010277601,GMEB2,0.80303925,1.0,0.6645421,PCGF3,0.09077864,1.0,0.5839292,ARV1,0.19691063,1.0,0.1908482,PRM3,-16.04486,1.0,-0.0014145592,HRC,-16.036879,1.0,-0.0005758961
PRXL2B,0.21051271,0.0009290856890375966,3.6872435,ZNF473,0.76633704,1.0,0.20637277,TRAT1,-17.639345,1.0,-0.0017617292,DLGAP4,0.0022389337,0.8302940800834853,1.1579057,BIVM,0.8417807,0.5267631393606924,1.2318796,OR8S1,-16.455431,1.0,-0.003918294,RELT,-0.0968815,5.291079754974391e-07,5.286837,TRIM48,2.1024792,1.0,0.039686505,CYP2C8,-17.438309,1.0,-0.0049837274,VN1R2,0.0,1.0,0.0,UBAP2,0.41020823,1.0,0.23242202,NLRP2B,-16.345163,1.0,-0.010277601,PHB2,1.5764378,1.0,0.6643698,CTH,1.1302239,1.0,0.5836526,IFI27,-0.0037606522,1.0,0.19048783,PRM2,-17.10479,1.0,-0.0014145592,PADI6,-14.06317,1.0,-0.0005758961
ZGPAT,-0.14101578,0.0009323580902081818,3.6862905,PIAS4,0.22932371,1.0,0.2061703,WIF1,-14.25433,1.0,-0.0017617292,MOV10,-0.0362246,0.8303277217396289,1.1575037,RAB39B,2.6956973,0.5271316923725805,1.2313714,SCNN1G,-16.629421,1.0,-0.003918294,RIPK3,0.20674768,5.322334586676835e-07,5.285716,TMEM130,-0.02507636,1.0,0.039686505,GBP6,-17.656477,1.0,-0.0049837274,GNGT1,0.0,1.0,0.0,CD226,0.33967388,1.0,0.23239882,STAB2,-16.727997,1.0,-0.010277601,ACY1,1.003677,1.0,0.6642222,NCKIPSD,-0.19462226,1.0,0.58273786,PEX11A,0.6990006,1.0,0.18991125,PRM1,-15.844209,1.0,-0.0014145592,PLA2G12B,-13.893117,1.0,-0.0005758961
DYNC1H1,0.19809656,0.0009340226467542124,3.6857786,FNTB,0.41570997,1.0,0.2048735,OR52M1,-16.401558,1.0,-0.0017617292,DNPEP,0.053260658,0.8303277217396289,1.1574774,CST6,2.5684106,0.5271316923725805,1.2313155,PCDHB4,-14.5924425,1.0,-0.003918294,LDB1,-0.064632975,5.342306355897293e-07,5.2849874,TAS1R1,-1.0413449,1.0,0.039686505,GPR37L1,-16.795332,1.0,-0.0049837274,VSIG1,0.0,1.0,0.0,TSPAN6,1.4695866,1.0,0.23221318,ADGRF1,-15.906482,1.0,-0.010277601,FRAT2,0.99283105,1.0,0.6640746,CRAT,-0.5714421,1.0,0.5820571,TLCD4,2.1761327,1.0,0.1898572,MDFIC2,-16.04486,1.0,-0.0014145592,TMEM262,-15.628398,1.0,-0.0005758961
CCDC112,0.6234383,0.0009403560076592785,3.6839998,GRTP1,2.522331,1.0,0.2047586,TMPRSS7,-17.631529,1.0,-0.0017617292,MCU,0.18886618,0.8303277217396289,1.1574312,MORF4L2,0.3772384,0.5281971535021242,1.2299807,LRRC55,-16.211082,1.0,-0.003918294,ADNP2,0.03473209,5.362487402137127e-07,5.284254,CDHR2,2.5502114,1.0,0.039686505,ELFN2,-14.5391245,1.0,-0.0049837274,PCSK2,0.0,1.0,0.0,DYNC2LI1,0.5129119,1.0,0.23194633,MOG,-17.851612,1.0,-0.010277601,HELQ,0.5452923,1.0,0.66402537,ZNF334,0.27386895,1.0,0.58201456,SPATA1,1.4941859,1.0,0.18967701,TMEM211,-16.604092,1.0,-0.0014145592,UGT2A3,-16.119358,1.0,-0.0005758961
HOXB7,1.3302695,0.000944935367456162,3.6826465,ZUP1,0.10995997,1.0,0.2044467,SLC9C1,-17.174576,1.0,-0.0017617292,FAM219B,0.31539366,0.8308782046012487,1.1568053,GOLT1B,0.13857709,0.5287081705506691,1.2291038,MASP1,-16.77929,1.0,-0.003918294,OSER1,0.022447923,5.383154089590044e-07,5.283507,CLDN4,0.8821915,1.0,0.039686505,FOXA3,-17.057863,1.0,-0.0049837274,PRR23B,0.0,1.0,0.0,TRIP11,0.16642457,1.0,0.23149386,COL4A3,-16.485226,1.0,-0.010277601,PLAAT4,0.886363,1.0,0.6639516,ATP5PF,-0.14519903,1.0,0.5819933,LTBP2,0.1153388,1.0,0.1895689,SGSM1,-15.2198515,1.0,-0.0014145592,GPHA2,-13.922497,1.0,-0.0005758961
ZNF276,0.17224675,0.0009469902594190629,3.6819825,KIAA0895,1.1261777,1.0,0.20406915,OR51F1,-16.722235,1.0,-0.0017617292,ZSCAN5A,0.57926244,0.8310042632421328,1.1566011,WDR66,2.8987482,0.5292090246668038,1.2284447,TMEM125,-14.288551,1.0,-0.003918294,SLAMF1,0.29676023,5.434855255125123e-07,5.281713,ENTPD8,1.9004796,1.0,0.039686505,GPRIN2,-16.341536,1.0,-0.0049837274,AC132217.2,0.0,1.0,0.0,TRAM2,0.8743485,1.0,0.23128502,CDHR2,-16.400747,1.0,-0.010277601,ZYX,0.173004,1.0,0.6633856,PHETA1,0.9942364,1.0,0.5813551,LIPG,1.2927107,1.0,0.18953288,PIWIL3,-15.373121,1.0,-0.0014145592,LGALS16,-16.036879,1.0,-0.0005758961
THAP6,0.052238964,0.0009469902594190629,3.6819775,INF2,0.07426916,1.0,0.20405273,OR5H14,-13.936705,1.0,-0.0017617292,APOC1,-0.0321557,0.831111175842551,1.1562057,GAN,1.2476208,0.5292090246668038,1.2283945,GASK1A,-13.948434,1.0,-0.003918294,ELF4,0.008842503,5.471113231976735e-07,5.2804523,MYOC,2.3312585,1.0,0.039686505,CFAP53,-16.366995,1.0,-0.0049837274,KCNK4,0.0,1.0,0.0,MLLT1,0.24189556,1.0,0.231053,TRIM75P,-16.504608,1.0,-0.010277601,OSBPL7,3.029315,1.0,0.6630166,SMG6,0.20152974,1.0,0.58124876,ELOVL6,-0.23330253,1.0,0.18934368,IL25,-15.844209,1.0,-0.0014145592,CCDC155,-14.515243,1.0,-0.0005758961
C1orf122,-0.07238117,0.0009504160145563111,3.6809993,ASPHD2,1.5201832,1.0,0.20401444,OR52R1,-16.406025,1.0,-0.0017617292,USP10,-0.002654242,0.831111175842551,1.1561859,FAM98C,1.4614735,0.5298773401935858,1.2274226,GSTA1,-16.10716,1.0,-0.003918294,FBH1,0.2813988,5.51294174263015e-07,5.2790136,LYZL6,2.5272565,1.0,0.039686505,CDHR2,-16.308756,1.0,-0.0049837274,MAGEA8,0.0,1.0,0.0,DNAJC1,0.36663178,1.0,0.23068173,TCF21,-14.8294115,1.0,-0.010277601,ZNF234,0.9802491,1.0,0.6625245,ZNF440,1.0718638,1.0,0.5808871,TNPO1,0.20490205,1.0,0.18933468,HTR1E,-15.768131,1.0,-0.0014145592,DKKL1,-15.54286,1.0,-0.0005758961
SLU7,-0.08374668,0.0009531331992848847,3.6802137,APBA1,1.3104863,1.0,0.20397066,OR51F2,-16.050108,1.0,-0.0017617292,ATG2B,0.23369764,0.8319521013884456,1.1554611,P2RX6,3.113522,0.5309157340886886,1.2261995,C12orf54,-16.691029,1.0,-0.003918294,SLC39A11,-0.0106660845,5.536284323960042e-07,5.278196,PYY,2.4242892,1.0,0.039686505,TMPRSS6,-14.74733,1.0,-0.0049837274,UBE2U,0.0,1.0,0.0,STARD9,1.2674814,1.0,0.2305309,NUP210L,-17.339327,1.0,-0.010277601,ATP5MPL,1.2011142,1.0,0.661934,PRPS1,-0.8573171,1.0,0.5808446,CDC23,0.08986748,1.0,0.18932566,BECN2,-16.04486,1.0,-0.0014145592,TMPRSS11E,-15.694502,1.0,-0.0005758961
JPT1,0.38977796,0.0009608656187487991,3.6780953,PARP11,0.20170702,1.0,0.2033633,OR51S1,-17.00272,1.0,-0.0017617292,VRK2,0.07978085,0.8322864779533891,1.1551052,AL135905.2,0.58991575,0.5319200995954642,1.2249372,ERN2,-14.683321,1.0,-0.003918294,CCDC93,0.34195653,5.537242585112548e-07,5.2781215,MARCOL,2.5461175,1.0,0.039686505,F9,-17.957115,1.0,-0.0049837274,SHCBP1L,0.0,1.0,0.0,SLC9B2,0.22654708,1.0,0.23044969,ERFE,-16.929651,1.0,-0.010277601,ALG11,0.68124866,1.0,0.661122,WDR78,0.6029749,1.0,0.5808233,PTPN13,1.1829188,1.0,0.18919052,TMEM275,-15.810352,1.0,-0.0014145592,CCDC187,-17.096807,1.0,-0.0005758961
ZBTB37,0.45731756,0.0009618513828894383,3.677776,MBOAT4,0.46062475,1.0,0.20314443,OR51G2,-15.001865,1.0,-0.0017617292,HIC2,0.3467623,0.8330822660289706,1.1543739,INTS1,0.23546155,0.5324330044184331,1.2242167,FAM183A,-16.089233,1.0,-0.003918294,INTS11,0.052912403,5.602633432460888e-07,5.275926,BBOX1,0.32799485,1.0,0.039686505,LRRC70,-17.250607,1.0,-0.0049837274,SFTPC,0.0,1.0,0.0,CEP162,0.5339459,1.0,0.23038007,NLRP7,-17.247215,1.0,-0.010277601,DNAJC24,0.24197035,1.0,0.6609252,DUSP12,-0.72687566,1.0,0.5803978,CEP112,0.73281854,1.0,0.18901035,CNTFR,-15.480568,1.0,-0.0014145592,ITIH6,-16.036879,1.0,-0.0005758961
FAH,-0.075718395,0.0009628381145918007,3.6774566,BAHCC1,0.6196117,1.0,0.2028216,OR51A2,-16.050108,1.0,-0.0017617292,BSDC1,-0.087729804,0.8344858639915173,1.1530559,ZNF529,0.55339146,0.5330426617691363,1.2234683,BTBD16,-16.895123,1.0,-0.003918294,RNF141,-0.057928517,5.721548047668557e-07,5.272031,GPRIN2,2.2226636,1.0,0.039686505,WFDC1,-17.81877,1.0,-0.0049837274,SCYGR8,0.0,1.0,0.0,P2RX5,1.1480408,1.0,0.23035687,PRSS16,-16.622965,1.0,-0.010277601,TRDMT1,1.0178462,1.0,0.66067916,CHRNA10,4.3046207,1.0,0.5797383,WDR5,-0.13456053,1.0,0.18895629,OR56A3,-16.04486,1.0,-0.0014145592,FRG2,-15.266325,1.0,-0.0005758961
RXYLT1,0.05241348,0.0009633473554118551,3.6772642,ALKAL2,1.2415653,1.0,0.20184761,OR52E2,-16.975378,1.0,-0.0017617292,SGF29,0.004367764,0.8350186705770304,1.152219,HIST1H2BN,2.307195,0.534523218523655,1.2213739,GRIN2B,-16.77929,1.0,-0.003918294,IREB2,0.15037695,5.726325339526251e-07,5.2718344,CLEC2A,-0.14907442,1.0,0.039686505,GCKR,-16.810085,1.0,-0.0049837274,TNP2,0.0,1.0,0.0,UVRAG,0.51889527,1.0,0.23012483,ZNF469,-14.677171,1.0,-0.010277601,FAM47E,3.6009629,1.0,0.6603347,EIF3B,0.3137398,1.0,0.5797171,MARC2,0.36622247,1.0,0.188668,TAS2R40,-15.65458,1.0,-0.0014145592,TMPRSS11F,-16.036879,1.0,-0.0005758961
CLCC1,0.027913792,0.0009782104770405318,3.67324,KRTCAP3,0.37401718,1.0,0.20107064,MRGPRE,-12.536774,1.0,-0.0017617292,PCF11,-0.11162584,0.8357161273169366,1.1515667,SH2D3A,3.1952665,0.5350732639069081,1.2206925,SLC9A3,-17.445469,1.0,-0.003918294,SEC22B,0.06663493,5.732711594090466e-07,5.271587,TCEAL2,2.0330157,1.0,0.039686505,C16orf90,-16.663372,1.0,-0.0049837274,XCL1,0.0,1.0,0.0,ZNF311,0.86372393,1.0,0.23003201,CFAP99,-17.071161,1.0,-0.010277601,HMGA2,2.5263631,1.0,0.6597934,MDM1,-0.8862802,1.0,0.57965326,MOCS2,0.08850617,1.0,0.1885689,ANKRD33,-17.784983,1.0,-0.0014145592,MYADML2,-17.4049,1.0,-0.0005758961
UCKL1,-0.13725467,0.0009796403651183045,3.6728091,PCBP2,0.1754736,1.0,0.20098308,TRPM5,-16.050108,1.0,-0.0017617292,CRLS1,-0.023981864,0.8360054665097663,1.1510923,PAICS,0.48156467,0.5355676590664908,1.2200334,OTOR,-17.554136,1.0,-0.003918294,YWHAE,0.14571987,5.871440801013131e-07,5.2671547,ZYG11A,2.0930843,1.0,0.039686505,PSORS1C2,-16.536266,1.0,-0.0049837274,TNN,0.0,1.0,0.0,ZNF547,1.1557925,1.0,0.22968395,LY6L,-16.755318,1.0,-0.010277601,HIST1H4J,3.7124336,1.0,0.6595228,MRI1,-1.3502208,1.0,0.57956815,STC2,-0.13164261,1.0,0.18853286,EFCAB9,-16.716986,1.0,-0.0014145592,NOTUM,-15.609721,1.0,-0.0005758961
IDH2,0.044754278,0.0009825134721895316,3.6720033,PPIL2,0.30114272,1.0,0.20081893,CCDC54,-12.867886,1.0,-0.0017617292,FBXO30,0.10177304,0.8375293552703971,1.1496097,C1R,0.6063365,0.535593203337362,1.2198882,SCRT2,-16.465317,1.0,-0.003918294,CHIC2,0.044687893,5.915019437233483e-07,5.2657533,HRH3,2.0441544,1.0,0.039686505,ECRG4,-16.389338,1.0,-0.0049837274,OR2A5,0.0,1.0,0.0,SLC4A7,0.51470584,1.0,0.22923148,OPTC,-17.74501,1.0,-0.010277601,GNL3L,0.65037143,1.0,0.65939975,SOS1,-0.23529468,1.0,0.5795043,AQR,0.10430334,1.0,0.18850584,TAS2R42,-17.10479,1.0,-0.0014145592,NPVF,-16.036879,1.0,-0.0005758961
RANBP9,-0.07021844,0.0009876443148479502,3.6706147,GANC,0.30095652,1.0,0.20070402,INS,-16.050108,1.0,-0.0017617292,ZBTB18,0.04441295,0.8378468329008301,1.1492671,FIGNL1,1.2907562,0.5359399403334716,1.2194302,CPAMD8,-15.906508,1.0,-0.003918294,EDF1,0.048163015,5.933665292876856e-07,5.265132,CHRNG,1.9306154,1.0,0.039686505,MASP2,-17.350548,1.0,-0.0049837274,SBK1,0.0,1.0,0.0,ACADM,0.2845508,1.0,0.22923148,ADGRB3,-17.993837,1.0,-0.010277601,ERBIN,0.2452436,1.0,0.65876,OPA3,0.64790314,1.0,0.5792916,DHDH,0.6683796,1.0,0.1879833,RNF212B,-16.04486,1.0,-0.0014145592,OR2B3,-16.151651,1.0,-0.0005758961
VAPB,0.013554482,0.0009907357421371707,3.669758,ZNF343,0.2966226,1.0,0.19905703,GLIPR1L1,-13.07319,1.0,-0.0017617292,TMEM199,0.07396634,0.838046228968468,1.1490101,SMIM29,0.5169308,0.536746126367951,1.2183914,APOL5,-15.74109,1.0,-0.003918294,SLC5A6,0.3834829,5.98118560169397e-07,5.263623,FOXA3,2.715803,1.0,0.039686505,PCDHB6,-16.132885,1.0,-0.0049837274,SSU72P8,0.0,1.0,0.0,FAAP100,0.46767294,1.0,0.22845416,PGLYRP2,-16.86586,1.0,-0.010277601,ECT2,0.8790222,1.0,0.6585632,RGS11,1.3655617,1.0,0.57916397,FBXL4,0.087544516,1.0,0.18729863,KNCN,-14.359594,1.0,-0.0014145592,LHB,-14.958698,1.0,-0.0005758961
SFXN2,0.6777572,0.000992891047480982,3.6691449,RYK,0.48421204,1.0,0.19893117,GPR15,-15.134527,1.0,-0.0017617292,REV3L,0.17508097,0.8391639987011262,1.1480876,BCL2L13,0.07987573,0.5372926213639492,1.217481,TMEM262,-15.69868,1.0,-0.003918294,CLSTN1,0.07105265,5.994698200053217e-07,5.263166,CHRND,1.0664825,1.0,0.039686505,CSMD2,-14.737425,1.0,-0.0049837274,PLA2G3,0.0,1.0,0.0,ZBTB8A,-0.25224838,1.0,0.22829172,CHST5,-15.035453,1.0,-0.010277601,RIBC2,3.3700554,1.0,0.65839094,FZD3,0.2756769,1.0,0.57903636,ORC5,0.3879921,1.0,0.18712744,PHOX2B,-17.265701,1.0,-0.0014145592,ASPDH,-15.739811,1.0,-0.0005758961
CZIB,-0.0989738,0.0009976374558197955,3.6678677,HARBI1,0.37835112,1.0,0.19870137,OR5K2,-16.050108,1.0,-0.0017617292,CREB3,-0.050700948,0.8424597843786112,1.1454782,RCOR3,0.621008,0.538192087638043,1.2163416,PDF,-14.033856,1.0,-0.003918294,IKBKB,-0.052158825,6.05175573367088e-07,5.2613816,LRRC70,0.8549991,1.0,0.039686505,KCNC2,-17.04842,1.0,-0.0049837274,OR2F2,0.0,1.0,0.0,PARD3B,1.8178825,1.0,0.22829172,IL17A,-18.083689,1.0,-0.010277601,CDH26,2.6564198,1.0,0.6582679,PSPH,-0.1155768,1.0,0.5788661,C15orf41,0.5372198,1.0,0.18702835,SEZ6L,-16.04486,1.0,-0.0014145592,MRGPRD,-17.684978,1.0,-0.0005758961
DHX8,-0.01118982,0.0010044248772989185,3.6660178,CUTA,0.05812312,1.0,0.19816513,PPFIA2,-15.211211,1.0,-0.0017617292,SMAD7,-0.1649297,0.8430519836760667,1.1449379,COPA,-0.012134474,0.5382636991998194,1.2161852,B4GALNT3,-12.435166,1.0,-0.003918294,VKORC1L1,1.2330486,6.058030292063763e-07,5.261148,TMEM82,2.3701751,1.0,0.039686505,PLAC1,-14.698042,1.0,-0.0049837274,GPR26,0.0,1.0,0.0,KBTBD4,0.26279932,1.0,0.22770002,ARL14,-16.016518,1.0,-0.010277601,TBP,0.5253481,1.0,0.65802187,ANO10,0.41663384,1.0,0.5784832,SEC61A2,-0.0896887,1.0,0.18688421,MYO3A,-15.899356,1.0,-0.0014145592,POU3F4,-14.468903,1.0,-0.0005758961
CWC15,-0.05370499,0.001004556551098074,3.6659265,SLC35D2,0.08615308,1.0,0.19721304,MUC5AC,-16.050108,1.0,-0.0017617292,C18orf21,0.20702134,0.8448856405755855,1.1434685,FANCG,0.88962173,0.5385706857469803,1.2155373,GPHA2,-13.992774,1.0,-0.003918294,MBOAT1,0.4078973,6.062462867043998e-07,5.2609706,NUTM1,-0.086521134,1.0,0.039686505,NANOS2,-17.177513,1.0,-0.0049837274,NYAP2,0.0,1.0,0.0,ITPRIPL1,0.7705212,1.0,0.22766522,LELP1,-16.187374,1.0,-0.010277601,DNAJC12,2.7238708,1.0,0.65720993,MTFR1,-0.25017247,1.0,0.57805777,TRAPPC2L,-0.024431301,1.0,0.18679412,TTPA,-17.334818,1.0,-0.0014145592,NKD2,-14.98018,1.0,-0.0005758961
GRAMD4,-0.047303665,0.0010050664505010221,3.665739,TAF3,0.46476695,1.0,0.19712003,TSPAN19,-16.050108,1.0,-0.0017617292,ICK,-0.010353583,0.8460714996430451,1.1421968,PLSCR4,1.9271456,0.5388725481361896,1.2151296,SLC39A2,-17.027346,1.0,-0.003918294,CABLES1,0.8996451,6.132590156796205e-07,5.2588124,C3orf22,1.6189733,1.0,0.039686505,DISP3,-15.659592,1.0,-0.0049837274,MUC2,0.0,1.0,0.0,PGF,0.57393146,1.0,0.22708511,LRRC31,-18.154203,1.0,-0.010277601,ZP3,2.2682087,1.0,0.656275,PTPRR,-1.2610017,1.0,0.5779514,ATP5IF1,0.17227986,1.0,0.18630762,TAS2R8,-16.04486,1.0,-0.0014145592,OR51G2,-14.988636,1.0,-0.0005758961
