C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score
RFX4,2.3668888,1.0,0.07364107,OLIG2,-19.502106,1.0,-0.03726266,SLC37A3,-22.644524,1.0,-0.19907542,TOX3,-16.147999,1.0,-0.0049420074,CALCRL,-0.5465063,1.0,-0.008226978,GTPBP1,0.53605145,1.0,-0.5544184,MARCH10,18.036762,1.0,0.038883623,C19orf18,-1.1197691,1.0,-0.08863583,SLAMF1,0.5513145,1.0,-0.6679675,MPP6,-0.7455287,1.0,-0.38189974,OR5B12,-18.711561,1.0,-0.01594109,DST,0.63507265,0.1765079705168469,-1.7357286,OR9Q1,-17.763601,1.0,-0.0024604467,GATA5,-17.423136,1.0,-0.0014253071,DRD5,-17.87333,1.0,-0.01738751,PPP2R5B,0.40478495,1.0,-0.155923,PEX12,-23.165909,1.0,-0.1192105
LGI1,2.0140376,1.0,0.07364107,SALL2,-19.081942,1.0,-0.03726266,TMED6,-22.387167,1.0,-0.19907542,SALL1,-11.777459,1.0,-0.0049420074,DISP1,0.38315773,1.0,-0.009254652,EBPL,-0.14130002,1.0,-0.5547173,CACNA1H,16.28155,1.0,0.038883623,FADS1,-0.032503676,1.0,-0.088836506,WDR89,-2.601209,1.0,-0.6680538,SLC16A7,0.4359816,1.0,-0.38199243,SMIM35,-18.81421,1.0,-0.01594109,DAG1,0.044951003,0.17530555628406588,-1.7389739,DCD,-16.665789,1.0,-0.0024604467,HOXB8,-14.411927,1.0,-0.0014253071,ADRA2C,-18.302546,1.0,-0.01738751,ZNF787,0.12043875,1.0,-0.15598729,HES6,-22.82356,1.0,-0.1192105
ANKRD63,2.233919,1.0,0.07364107,FFAR4,-16.855288,1.0,-0.03726266,CYYR1,-22.301888,1.0,-0.19907542,OR10J5,-17.207933,1.0,-0.0049420074,ZNF462,0.56148267,1.0,-0.009394282,BAG4,0.5546882,1.0,-0.5552343,CAPN8,16.686163,1.0,0.038883623,RNF213,-0.103439815,1.0,-0.08905303,ZNF174,-1.570987,1.0,-0.66851026,EFCAB2,1.1497846,1.0,-0.38201094,XIRP2,-18.2119,1.0,-0.01594109,SGK1,-0.2853824,0.17498141180466595,-1.739892,KCNK1,-15.008571,1.0,-0.0024604467,GJD2,-17.104935,1.0,-0.0014253071,PROC,-18.765085,1.0,-0.01738751,UBOX5,0.27812693,1.0,-0.15611589,OTOA,-23.121683,1.0,-0.1192105
NUGGC,0.19073553,1.0,0.07363094,SGCG,-18.653688,1.0,-0.03726266,KLHL3,-22.576757,1.0,-0.19907542,CAPN8,-14.206663,1.0,-0.0049420074,HIST1H4I,-0.20154203,1.0,-0.009438963,TBC1D1,0.2129547,1.0,-0.5554282,ASB10,16.71572,1.0,0.038883623,PRRT4,-0.8946157,1.0,-0.089084715,CRAT,-1.9855512,1.0,-0.6690777,NAB2,0.67916846,1.0,-0.38208508,GML,-19.367746,1.0,-0.01594109,FUT8,0.57536215,0.17468402661452279,-1.74074,GUCA2A,-16.99225,1.0,-0.0024604467,C6orf15,-15.698274,1.0,-0.0014253071,GALNTL6,-17.262598,1.0,-0.01738751,SEMA4B,-0.3889979,1.0,-0.15652311,LLGL2,-23.874731,1.0,-0.11978639
CATSPERB,0.20489322,1.0,0.07363094,EPB42,-19.815699,1.0,-0.03726266,DVL1,0.51208365,1.0,-0.1994554,NOVA1,-15.631384,1.0,-0.0049420074,CLEC18A,-0.5105375,1.0,-0.009528326,PRR5,-22.244925,1.0,-0.5563977,MAPK15,17.006737,1.0,0.038883623,KRR1,0.01551367,1.0,-0.089264266,CHD2,0.6826411,1.0,-0.66981786,PLEKHG2,-1.4758623,1.0,-0.3821592,ANKRD66,-17.870188,1.0,-0.01594109,RAB3IP,-1.1619718,0.17449445898145152,-1.7413011,LEUTX,-17.740421,1.0,-0.0024604467,AANAT,-15.592922,1.0,-0.0014253071,SHC2,-16.565037,1.0,-0.01738751,C2orf68,0.3619599,1.0,-0.15673745,TMEM117,-23.15644,1.0,-0.11978639
PPP1R3G,-0.29924327,1.0,0.07363094,KCNH1,-18.229897,1.0,-0.03726266,TAF9B,-2.1849008,1.0,-0.19955902,SLC1A7,-17.729427,1.0,-0.0049420074,ADIPOR2,0.060279187,1.0,-0.009539496,MFSD3,-1.950603,1.0,-0.5570682,ANKRD65,16.261784,1.0,0.038883623,PLEKHN1,-2.1072054,1.0,-0.08941214,PLK1,-1.8974024,1.0,-0.6702373,ZNF699,0.9834826,1.0,-0.3822148,SYN1,-17.767708,1.0,-0.01594109,ACTR5,-0.6097763,0.1744625609753029,-1.7414412,C1orf87,-16.994602,1.0,-0.0024604467,SSTR3,-15.979325,1.0,-0.0014253071,TMEM40,-19.826857,1.0,-0.01738751,SIRT5,-0.53537637,1.0,-0.15688747,CCDC28B,-23.659496,1.0,-0.11978639
LRRN2,0.18486255,1.0,0.07363094,MMP3,-18.737011,1.0,-0.03726266,ALDH1B1,-0.5877805,1.0,-0.19959356,SUSD4,-15.246328,1.0,-0.0049420074,OXER1,8.269733e-05,1.0,-0.009712637,PKP4,-0.96951765,1.0,-0.5574722,APOC3,17.094595,1.0,0.038883623,TPPP3,0.48842052,1.0,-0.08949135,PAQR8,-23.242697,1.0,-0.67031133,MTERF2,0.24750395,1.0,-0.38245574,FBXO17,-18.147446,1.0,-0.01594109,SPAG1,-2.334519,0.1734732032741679,-1.7441446,MUC3A,-18.440067,1.0,-0.0024604467,MCHR2,-15.421846,1.0,-0.0014253071,SLC9A4,-18.58982,1.0,-0.01738751,LILRB4,-21.86129,1.0,-0.15701607,RNF115,-0.3639996,1.0,-0.11978639
KCNB1,0.44658163,1.0,0.07363094,PABPC4L,-17.191942,1.0,-0.03726266,VPS50,0.5081377,1.0,-0.20028444,FAM177B,-16.399288,1.0,-0.0049420074,ATG4C,0.18046838,1.0,-0.010438711,SCYL2,0.52993786,1.0,-0.5576257,PRM1,18.427036,1.0,0.038883623,SYNPO2,-2.517504,1.0,-0.08949663,ZNF35,0.11682427,1.0,-0.6704223,PLIN3,0.73135775,1.0,-0.3831044,LGALS4,-18.58744,1.0,-0.01594109,GPR153,0.24271102,0.1725285807452615,-1.7467395,ABCB11,-17.457321,1.0,-0.0024604467,PHOX2B,-17.265846,1.0,-0.0014253071,AQP6,-18.137312,1.0,-0.01738751,TUSC1,-21.858025,1.0,-0.15701607,FAT1,-23.70188,1.0,-0.11978639
OR1K1,0.8806254,1.0,0.07363094,FAM78B,-17.923601,1.0,-0.03726266,UMPS,-1.2921957,1.0,-0.2003708,PDE6C,-15.871269,1.0,-0.0049420074,PCDHGA3,1.4904845,1.0,-0.010751481,CD36,0.25458413,1.0,-0.5583124,BCL2L15,16.308174,1.0,0.038883623,PYHIN1,-3.0051003,1.0,-0.08957057,HIRIP3,-1.2244983,1.0,-0.6707184,LDLRAD3,1.0098827,1.0,-0.3833083,VANGL2,-16.878906,1.0,-0.01594109,TTLL1,0.22927901,0.17247091411607574,-1.7469499,FAM3D,-18.037275,1.0,-0.0024604467,OR6K6,-15.421846,1.0,-0.0014253071,PKD2L2,-18.34086,1.0,-0.01738751,TTC21A,-22.246151,1.0,-0.15701607,MTFMT,-22.88701,1.0,-0.11978639
PPEF1,2.2875896,1.0,0.07363094,MAPK8IP2,-18.196802,1.0,-0.03726266,CNOT7,-0.57236344,1.0,-0.2005608,ANKRD65,-13.782323,1.0,-0.0049420074,C17orf67,0.08902814,1.0,-0.010762651,TMEM186,-0.17515744,1.0,-0.55855477,TRNP1,15.44514,1.0,0.038883623,PLCB4,-0.74539804,1.0,-0.089618094,C15orf65,-3.7862384,1.0,-0.6710145,HHLA3,0.28167945,1.0,-0.38343802,ENPEP,-17.716505,1.0,-0.01594109,SELL,-0.9042978,0.17150947510753758,-1.7496022,CALML6,-16.828255,1.0,-0.0024604467,POU3F2,-16.231869,1.0,-0.0014253071,IL9,-18.509602,1.0,-0.01738751,SIGLEC11,-22.040342,1.0,-0.15701607,ATMIN,1.2945765,1.0,-0.12025758
