C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score
KRTAP29-1,2.945918,1.0,0.040293906,KL,-1.7793249,1.0,-0.08690941,MTLN,-0.011096874,1.0,0.31878832,FOXI1,-20.208138,1.0,-0.093385264,FCRL6,-2.5061147,1.0,0.0002913076,ATG2A,0.97364193,1.0,-0.06833956,KIF5C,0.7253167,1.0,-0.14610644,KLHL17,1.4935929,1.0,-0.06564403,KLHL41,-20.277678,1.0,-0.10264945,PPP1R35,-0.2591527,4.946498782147746e-23,9.978861,TBCC,-0.38428524,5.231712854570977e-09,5.9940534,MAGEE1,1.0070581,0.00964055018708132,2.859517,TSGA10IP,-15.519763,1.0,-0.013008043,CCL22,-23.0351,1.0,-0.30404004,DEFA4,-21.180475,1.0,-0.15393499,OLFM1,-20.883934,1.0,-0.13628466,NR0B1,-21.689352,1.0,-0.07046877,STAC2,-19.719194,1.0,-0.025795102
BHMG1,2.9484777,1.0,0.040293906,TMEM72,-0.5088862,1.0,-0.08693632,SLC35F2,-0.20052128,1.0,0.3185593,SHISA3,-18.66998,1.0,-0.093385264,RHBDL1,-0.4858696,1.0,0.00026624888,C15orf62,0.25105298,1.0,-0.06835732,MYO5C,-21.818655,1.0,-0.14732727,NBPF11,1.3684245,1.0,-0.06583501,RAC3,1.2855996,1.0,-0.1028118,CDK20,0.6839466,4.9816437798363934e-23,9.978145,AHRR,0.59818155,5.307288345206264e-09,5.991653,AP1S3,0.24603055,0.009723243777087972,2.8566873,FBN3,-17.61772,1.0,-0.013008043,PSMD5,-21.800009,1.0,-0.30404004,GSTT2B,-19.770866,1.0,-0.15393499,DEUP1,-20.788395,1.0,-0.13628466,MYO5C,-21.79501,1.0,-0.07046877,LCE2A,-19.674685,1.0,-0.025795102
PRIMA1,2.7637453,1.0,0.040293906,MYZAP,-2.4411144,1.0,-0.08694977,ZNF682,0.21398193,1.0,0.31787422,BMX,-19.45617,1.0,-0.093385264,AWAT1,0.0,1.0,0.0,NRL,0.4011952,1.0,-0.06867253,NR0B1,-21.712992,1.0,-0.14732727,OR10A3,-19.045471,1.0,-0.06595988,CDO1,2.0323913,1.0,-0.102834195,SRRT,-0.29941276,5.107684386250412e-23,9.975636,PPP4R2,-0.31093913,5.371438472018867e-09,5.9896536,ZNF143,0.14803536,0.009733368347726586,2.8562772,FAM237B,-18.027525,1.0,-0.013008043,B4GALNT4,-21.548815,1.0,-0.3053016,VAX2,-19.714642,1.0,-0.15393499,SCGB3A1,-21.762564,1.0,-0.13628466,PRCD,-20.695538,1.0,-0.07046877,ST8SIA1,-19.678593,1.0,-0.025795102
SIGLECL1,2.8199217,1.0,0.040293906,GCSAM,-0.8560067,1.0,-0.08695426,HSDL1,0.066370636,1.0,0.31739822,EPHA1,-20.955519,1.0,-0.093385264,SERPINA7,0.0,1.0,0.0,GLYCTK,0.62349015,1.0,-0.06886122,IRX6,-20.890472,1.0,-0.14732727,CLDN10,-20.918585,1.0,-0.06595988,RBM34,-1.8671536,1.0,-0.102934964,ACP2,-0.3482502,5.124090858383127e-23,9.975303,RAD51C,-0.0070756446,5.430222867389706e-09,5.987849,CCNA2,-0.3484588,0.009780209971160195,2.854673,WIF1,-14.928789,1.0,-0.013008043,NBPF11,-21.970854,1.0,-0.3053016,MISP,-20.027113,1.0,-0.15393499,SLITRK4,-21.870348,1.0,-0.13628466,IRX6,-20.866848,1.0,-0.07046877,SULT2B1,-19.775455,1.0,-0.025795102
GALR3,-0.37172973,1.0,0.040293906,PCYT1B,-2.3143651,1.0,-0.08696322,ZNF709,0.24754855,1.0,0.3172389,RIPPLY3,-18.796476,1.0,-0.093385264,LMOD2,0.0,1.0,0.0,SYPL2,0.3624431,1.0,-0.069065444,CLSTN2,-19.844282,1.0,-0.14732727,LIPT2,-19.047523,1.0,-0.06595988,RHEBL1,-1.7439303,1.0,-0.10306932,NUP54,-0.31083325,5.1370903290470324e-23,9.975037,LCAT,0.8780162,5.491075338652884e-09,5.9860005,ZNF284,0.9766546,0.010050510159180133,2.8458428,PLA2G4F,-17.120882,1.0,-0.013008043,FRK,-21.606308,1.0,-0.3053016,RGS17,-20.879004,1.0,-0.15393499,ZFP2,-20.57607,1.0,-0.13628466,ZNF888,1.5694096,1.0,-0.0710873,IQUB,-19.348223,1.0,-0.025795102
DEFB108B,0.73140305,1.0,0.040289547,HIST3H2BB,-1.7012433,1.0,-0.08704843,CENPBD1,0.147413,1.0,0.31610572,VSIG1,-20.783403,1.0,-0.093385264,SLC13A1,0.0,1.0,0.0,WFDC13,-1.85332,1.0,-0.06915867,CHST6,-19.776909,1.0,-0.14732727,KRTAP4-12,-19.309671,1.0,-0.06595988,PM20D1,-21.725544,1.0,-0.10371872,EIF2S3,-0.08912547,5.1554698837751895e-23,9.974668,KRBOX1,0.6077325,5.542060109746357e-09,5.984473,ETV3,-0.041917115,0.010057672637501147,2.845576,RNF183,-16.153503,1.0,-0.013008043,TNNT1,-22.596498,1.0,-0.3053016,TMEM232,1.2503929,1.0,-0.154171,FAM104A,0.80922353,1.0,-0.13671102,MISP,-20.001465,1.0,-0.07127876,RASAL1,-21.217918,1.0,-0.025795102
ITPRID1,0.31112304,1.0,0.040289547,CALCRL,0.927519,1.0,-0.08849468,GAN,0.14778146,1.0,0.31607983,MEP1A,-19.18799,1.0,-0.093385264,TUBA4B,0.0,1.0,0.0,COL9A2,0.60111403,1.0,-0.069171995,PRCD,-20.719158,1.0,-0.14732727,KLHL10,-19.184004,1.0,-0.06595988,ISL2,-20.562798,1.0,-0.10371872,IL11,1.3857853,5.324415696410551e-23,9.971452,FKBP1B,0.6739338,5.58511708869184e-09,5.9831905,TMEM260,0.10170272,0.010163545552970808,2.8421993,FGF10,-16.877356,1.0,-0.013008043,TESMIN,-1.0637671,1.0,-0.3057634,YTHDC1,1.8087525,1.0,-0.1554413,TTLL7,0.9055011,1.0,-0.13691166,NAT8L,-20.871773,1.0,-0.07127876,ANKRD30B,-19.662443,1.0,-0.025795102
CPNE6,2.073924,1.0,0.040289547,SSTR2,0.11826922,1.0,-0.08926601,ARL1,-0.004589378,1.0,0.31572533,DNAJB13,-18.305853,1.0,-0.093385264,OR10G7,0.0,1.0,0.0,OR2C3,-0.3137334,1.0,-0.070155375,COL19A1,-21.517895,1.0,-0.14732727,PHOSPHO1,-20.901995,1.0,-0.06595988,BMP7,-21.341768,1.0,-0.10371872,UHRF1BP1,0.22065322,5.40152339227611e-23,9.97001,SUPT7L,-0.2106185,5.724439671262198e-09,5.9791317,SLC25A14,0.5963395,0.010175772684691206,2.8417761,C19orf85,-17.205166,1.0,-0.013008043,SELENOP,-0.2596062,1.0,-0.3065251,ZNF257,1.2483635,1.0,-0.15553501,CFAP45,-21.375643,1.0,-0.1372377,SLC22A13,-20.899332,1.0,-0.07127876,DCLK3,-19.738253,1.0,-0.025795102
NPSR1,1.9136422,1.0,0.040289547,SLC4A11,0.16715528,1.0,-0.08940279,TMEM186,0.20792831,1.0,0.3154525,PURG,-18.34398,1.0,-0.093385264,OR10G6,0.0,1.0,0.0,RASGRP1,0.017366575,1.0,-0.07062376,CD177,-0.22605424,1.0,-0.14771393,TRPV3,-19.141373,1.0,-0.06595988,TRAT1,-23.18059,1.0,-0.10371872,TFB2M,0.34868276,5.536628660246971e-23,9.967541,TEX2,-0.16711345,5.77568546715678e-09,5.9776564,TTC30A,0.7252163,0.010196330885013836,2.8410926,GJB5,-17.181978,1.0,-0.013008043,SYNDIG1,-21.331041,1.0,-0.3065632,ZNF165,1.2903605,1.0,-0.15562525,GABBR2,-20.716454,1.0,-0.1372377,RGS17,-20.853346,1.0,-0.07127876,PKD2L2,-19.924217,1.0,-0.025795102
PPP1R1B,1.7560081,1.0,0.040289547,APOA1,0.07675975,1.0,-0.08963374,ZFYVE21,0.057225976,1.0,0.3147933,CAPN11,-18.694407,1.0,-0.093385264,BARX2,0.0,1.0,0.0,DRC1,-18.74239,1.0,-0.07086794,PIK3R1,0.93011165,1.0,-0.14861614,LRRC7,-21.00918,1.0,-0.06595988,MMP23B,-20.783155,1.0,-0.10371872,SLC27A5,0.67604846,5.704094123288824e-23,9.964566,FPGS,-0.21498583,5.860099547318603e-09,5.975269,CHMP5,-0.014083984,0.010270271421514762,2.8387074,HJV,-17.594646,1.0,-0.013008043,TMEM229B,-23.065596,1.0,-0.3065632,GPR156,-20.121283,1.0,-0.15568425,TGM1,-21.174437,1.0,-0.1372377,GSTT2B,-19.74522,1.0,-0.07127876,A3GALT2,-20.197811,1.0,-0.025795102
MYOG,2.2675407,1.0,0.040289547,LBX2,-0.5622753,1.0,-0.089660645,KIAA0408,0.4425113,1.0,0.31471163,CLVS1,-19.319008,1.0,-0.093385264,PATE3,0.0,1.0,0.0,KRT36,-19.295912,1.0,-0.07086794,SLC22A13,-20.922956,1.0,-0.1490207,HIST1H4I,-19.93624,1.0,-0.06595988,ATP2A1,-21.124544,1.0,-0.10371872,GPHN,0.15270491,5.771020454505436e-23,9.963392,NUP153,-0.246694,5.944666380227575e-09,5.9729095,LARP7,-0.07933268,0.010282189028913553,2.8382974,ADIG,-17.321442,1.0,-0.013008043,PRSS53,-21.79979,1.0,-0.3065632,FOXD2,-20.211184,1.0,-0.15568425,PDE2A,-21.902132,1.0,-0.1372377,DEFA4,-21.154812,1.0,-0.07127876,SLC66A1,0.36050615,1.0,-0.026200725
MAGEB17,1.6637073,1.0,0.040289547,EFCAB1,-18.71489,1.0,-0.08968979,COMMD5,0.013566927,1.0,0.3144886,ANKS1B,-18.865355,1.0,-0.093385264,RAB41,0.0,1.0,0.0,SMIM38,-19.244669,1.0,-0.07086794,SMIM24,-22.546408,1.0,-0.1490207,OTOF,-20.688517,1.0,-0.06595988,GIPR,-21.409992,1.0,-0.10371872,WDR19,0.44650438,5.848873666395985e-23,9.962046,LUC7L3,-0.32510987,5.9974339208690315e-09,5.971445,KIAA1143,0.067932524,0.010351579358389467,2.83611,SLC9C1,-17.62618,1.0,-0.013008043,PTPRR,-22.72337,1.0,-0.3065632,PMEL,-20.346346,1.0,-0.15568425,SPEGNB,-20.424599,1.0,-0.1372377,VAX2,-19.688997,1.0,-0.07127876,CLEC14A,-19.765095,1.0,-0.026264103
PHACTR3,0.036456835,1.0,0.040289547,PSG9,-18.446096,1.0,-0.08968979,FAN1,-0.119181946,1.0,0.31392696,WNT4,-18.403076,1.0,-0.093385264,KRTAP9-6,0.0,1.0,0.0,AP1M2,-18.971092,1.0,-0.07086794,ABCA9,-20.58965,1.0,-0.1490207,EGR4,-20.232874,1.0,-0.06595988,RAG1,-21.22238,1.0,-0.10371872,SRC,-0.17821382,6.252819371768184e-23,9.955391,FOXO1,-0.19513038,6.0340213829925055e-09,5.97043,JRK,0.7045595,0.010404055829271919,2.8344548,MUC12,-16.188715,1.0,-0.013008043,FAM241B,-21.884697,1.0,-0.30782476,SLCO4A1,-21.76243,1.0,-0.15568425,ZNF630,0.43920738,1.0,-0.1377581,TERC,-20.696617,1.0,-0.07127876,PCBP3,-20.743074,1.0,-0.026264103
OR6C4,1.2325536,1.0,0.040289547,SPATA22,-19.064281,1.0,-0.08968979,NAT1,0.23998477,1.0,0.31160682,C1QTNF12,-0.7328308,1.0,-0.09406973,LYZL2,0.0,1.0,0.0,CCDC3,-18.59409,1.0,-0.07086794,VAX2,-19.712606,1.0,-0.1490207,PAPOLB,-19.016756,1.0,-0.06595988,LRRC4B,-22.52295,1.0,-0.10371872,RSRC1,-0.24066995,6.395698757131687e-23,9.953115,VMP1,0.0023733838,6.091127329421382e-09,5.9688473,RHEB,-0.017947549,0.010444100506532623,2.8331468,FNDC9,-17.815878,1.0,-0.013008043,MASP1,-21.605421,1.0,-0.30782476,CSRNP3,-19.716553,1.0,-0.15568425,BTBD8,0.47599134,1.0,-0.13810922,SMIM24,-22.522736,1.0,-0.07127876,CCR10,-19.601967,1.0,-0.026264103
GUCA2A,1.7205108,1.0,0.040289547,REM2,-20.61792,1.0,-0.08968979,FIBCD1,0.27433932,1.0,0.3111209,ACOD1,-2.5451956,1.0,-0.094117284,ASB15,0.0,1.0,0.0,LRRN4CL,-18.71052,1.0,-0.07086794,MISP,-20.025078,1.0,-0.1490207,DNAI2,-20.698845,1.0,-0.06595988,KCTD4,1.6616931,1.0,-0.10388107,MPHOSPH6,-0.17923436,6.55833645185597e-23,9.950603,PRELP,0.9179519,6.09872360264989e-09,5.968621,CARS,0.40204751,0.010560643966184871,2.829558,C17orf78,-16.905642,1.0,-0.013008043,RIMS3,-22.677277,1.0,-0.30908635,DNAH7,-0.95057833,1.0,-0.15613198,SLC29A2,-22.160913,1.0,-0.13819073,FRAT2,1.379771,1.0,-0.07150702,PCDHB11,-19.448889,1.0,-0.026264103
CFHR4,1.1717565,1.0,0.040289547,RUFY4,-20.79357,1.0,-0.08968979,POLB,-0.13637915,1.0,0.3097726,PROM2,-0.60572284,1.0,-0.094750784,VSTM2B,0.0,1.0,0.0,PSD2,-18.976227,1.0,-0.07086794,GSTT2B,-19.768831,1.0,-0.1490207,LTK,-21.323128,1.0,-0.06595988,ZNF334,-2.4566584,1.0,-0.10430094,ZNF181,0.78299564,6.977601319142279e-23,9.94442,TMEM234,0.20789045,6.1478793502700235e-09,5.9672875,IFFO1,0.15210831,0.01063449677299475,2.827247,PRR18,-16.716623,1.0,-0.013008043,EFHC2,-23.324833,1.0,-0.30908635,MYCL,-1.1985285,1.0,-0.15618752,GUCA1B,-21.225086,1.0,-0.13914378,LRRC71,-20.253284,1.0,-0.07208874,PRKAA2,-19.121073,1.0,-0.026264103
SLC6A11,1.2594122,1.0,0.040289547,LRRC66,-19.055243,1.0,-0.08968979,CSDE1,-0.016524285,1.0,0.3093006,NANOS3,0.12593672,1.0,-0.09477457,RHD,0.0,1.0,0.0,TNK1,-19.471712,1.0,-0.07086794,RGS17,-20.876968,1.0,-0.1490207,LRP5L,-19.88349,1.0,-0.06595988,SLC9B2,1.4017953,1.0,-0.1044017,ZNF550,0.068652846,6.97864075028106e-23,9.94439,CCNDBP1,-0.15091774,6.2235970523219876e-09,5.965266,ACP6,0.25393388,0.010652981634612096,2.8266506,NPY1R,-17.253849,1.0,-0.013008043,ATP6AP1L,-21.790514,1.0,-0.30908635,MS4A4E,-1.3579133,1.0,-0.15621528,FAM186B,-21.9738,1.0,-0.13914378,CCR4,-22.280506,1.0,-0.07208874,ZNF10,-0.1305562,1.0,-0.026264103
GNG8,1.6982942,1.0,0.040289547,MAP2,-18.603786,1.0,-0.08968979,ARMC5,-0.36903563,1.0,0.30913532,UBE2L5,-1.0814797,1.0,-0.09479155,TMEM225,0.0,1.0,0.0,HMX3,-19.66267,1.0,-0.07086794,NAT8L,-20.895395,1.0,-0.1490207,TAS1R1,-19.381239,1.0,-0.06595988,L3MBTL1,-2.8555722,1.0,-0.10458085,RSBN1,-0.09406137,6.999225363358962e-23,9.944082,WDR78,1.7529438,6.362550327336745e-09,5.961637,MIS12,0.05609353,0.010697349716440051,2.8252392,ERICH6,-16.011688,1.0,-0.013008043,TFAP4,-22.39731,1.0,-0.30908635,ZNF648,-1.5989249,1.0,-0.15628469,VSTM2L,-19.914017,1.0,-0.13914378,GPR63,-21.519775,1.0,-0.07208874,XKR9,-19.338,1.0,-0.026264103
TMEM212,1.0961457,1.0,0.040289547,CCDC181,-19.789627,1.0,-0.08968979,IL22RA2,0.8008718,1.0,0.30902776,LEKR1,1.0627913,1.0,-0.09490874,KRTAP9-7,0.0,1.0,0.0,SLC38A3,-19.015392,1.0,-0.07086794,C11orf91,0.9359418,1.0,-0.14933933,CS,-19.290043,1.0,-0.06595988,SCNN1A,-20.615833,1.0,-0.10478798,COX7A2,-0.18606214,7.290997835555681e-23,9.940001,UPRT,-0.104146704,6.52643574292654e-09,5.9574575,ATP1A1,0.017803216,0.010799964430299389,2.8220584,TSSK1B,-15.556729,1.0,-0.013008043,TMEM35A,-21.438433,1.0,-0.3103479,TBX19,1.2142327,1.0,-0.15735716,ICOS,-23.35761,1.0,-0.13914378,SLCO4A1,-21.736752,1.0,-0.07208874,TRAPPC3L,-18.974527,1.0,-0.026264103
TPTE2,1.7044021,1.0,0.040289547,NRK,-19.212317,1.0,-0.08968979,ANKRD28,-0.14550848,1.0,0.30887643,POMC,-0.03334551,1.0,-0.09535372,PIH1D3,0.0,1.0,0.0,PEBP4,-19.196144,1.0,-0.07086794,RASGRP3,0.38168985,1.0,-0.15064609,GREB1L,-18.523848,1.0,-0.06595988,MANSC4,-20.981642,1.0,-0.10478798,TAF5L,-0.26020858,7.66312150134398e-23,9.935026,RC3H1,-0.19461413,6.650712404382041e-09,5.954281,EFHC1,0.43828365,0.010842932921225857,2.8207426,GHRH,-17.461926,1.0,-0.013008043,BOLA1,-21.391954,1.0,-0.3103479,SNCG,-20.060032,1.0,-0.15743351,EPX,-23.045305,1.0,-0.13914378,FOXD2,-20.185535,1.0,-0.07208874,PANX3,-20.358234,1.0,-0.026264103
FRG2C,1.7814819,1.0,0.040289547,PGAM2,-19.937328,1.0,-0.08968979,ADRA2C,0.5197097,1.0,0.30859363,HIST1H2AE,-0.6782205,1.0,-0.09549469,OR8B8,0.0,1.0,0.0,CTAGE1,-17.932673,1.0,-0.07086794,ALKAL2,-21.464607,1.0,-0.15071411,DLGAP3,-20.56416,1.0,-0.06595988,TMEM52,-20.914993,1.0,-0.10478798,SHFL,-0.27450725,8.095036295880488e-23,9.929531,MTHFSD,0.2636675,6.7785158690677185e-09,5.9511437,LIG4,-0.0014115528,0.010842932921225857,2.8207047,STXBP5L,-14.019744,1.0,-0.013008043,ST6GALNAC3,-23.113497,1.0,-0.3103479,GASK1A,-19.852512,1.0,-0.15743351,TRDC,-23.495785,1.0,-0.13914378,PMEL,-20.320694,1.0,-0.07208874,KLRC4,-22.158484,1.0,-0.026264103
OR4X1,1.1023962,1.0,0.040289547,FBXO2,-19.13508,1.0,-0.08968979,SUMO4,0.15792702,1.0,0.3077492,GIMAP6,-0.92941403,1.0,-0.09553715,NXPH2,0.0,1.0,0.0,SERPINA5,-18.47973,1.0,-0.07086794,GK3P,-20.953352,1.0,-0.15071411,PARD6B,-3.7272172,1.0,-0.06609576,HOXD9,-20.007172,1.0,-0.10478798,TTC5,0.35376635,8.266292782371328e-23,9.927429,MVB12A,0.18991143,6.846135111684777e-09,5.9494963,PTBP2,0.05698527,0.01084413686267426,2.820629,OR13C9,-17.152645,1.0,-0.013008043,ADAMTSL5,-21.17084,1.0,-0.3103479,CCKAR,-21.168743,1.0,-0.15743351,FNDC5,-21.22054,1.0,-0.13914378,ALKAL2,-21.440971,1.0,-0.07208874,TRABD2B,-19.602434,1.0,-0.026264103
OR5L1,2.7290916,1.0,0.040289547,CABP1,-18.603056,1.0,-0.08968979,CAMK4,-1.1965357,1.0,0.3076556,TMEM232,0.774499,1.0,-0.096026294,ZNF536,0.0,1.0,0.0,RELN,-19.054115,1.0,-0.07086794,CCR4,-22.304167,1.0,-0.15071411,MMP14,0.28326952,1.0,-0.06621696,SLC23A3,-20.69304,1.0,-0.10478798,ATP5F1B,-0.086605065,8.280456395416277e-23,9.927244,NT5DC3,0.092412695,6.872499170222761e-09,5.948844,TMEM175,-0.029018722,0.01096405062149041,2.8170183,CCL14,-16.187756,1.0,-0.013008043,SDS,-22.867596,1.0,-0.3103479,PAG1,0.8776046,1.0,-0.15750293,TTPA,-20.658659,1.0,-0.13914378,GK3P,-20.929728,1.0,-0.07208874,UBE3D,-19.546139,1.0,-0.026264103
CLPSL2,2.4418461,1.0,0.040289547,ODAPH,-19.392685,1.0,-0.08968979,CXCL6,0.5771959,1.0,0.3070681,RXFP1,0.013349318,1.0,-0.09604837,SSU72P8,0.0,1.0,0.0,CCL27,-18.683786,1.0,-0.07086794,GPR63,-21.543411,1.0,-0.15071411,CADPS,1.3063577,1.0,-0.066433646,PANX2,0.49981567,1.0,-0.10534221,SKA2,0.56538707,8.302288936319371e-23,9.926967,CIAO3,0.15497474,6.893815522933907e-09,5.948314,PCDHGA5,1.5240681,0.01098580811628025,2.8163414,AVPR1A,-18.206926,1.0,-0.013008043,FOLR2,-22.445377,1.0,-0.3116095,USP20,2.3124974,1.0,-0.15765911,LAMC2,-20.608053,1.0,-0.13914378,CSRNP3,-19.690907,1.0,-0.07208874,NINJ2,1.6185209,1.0,-0.026606347
DYTN,1.8341515,1.0,0.040289547,GJA4,-20.71168,1.0,-0.08968979,DEPDC4,-0.09162846,1.0,0.30703226,C19orf73,-0.5242598,1.0,-0.09679397,ELAVL3,0.0,1.0,0.0,TMEM26,-18.906605,1.0,-0.07086794,LRRC71,-20.2769,1.0,-0.15071411,VAC14,1.0143552,1.0,-0.06668338,POU2AF1,-23.13359,1.0,-0.105857246,AARSD1,0.30135056,8.598335018236012e-23,9.923457,ST3GAL2,-0.27394256,7.0458425112298355e-09,5.944719,BRK1,-0.0023177003,0.011008789362053975,2.81563,PCDHA9,-14.760012,1.0,-0.013008043,TM4SF20,-21.674282,1.0,-0.3116095,AVIL,1.0522039,1.0,-0.15766259,PROSER2,-1.4324753,1.0,-0.14004666,TNFRSF6B,-20.88151,1.0,-0.07208874,IL22RA2,-20.361809,1.0,-0.026733106
SLC17A7,1.7082564,1.0,0.040289547,TRIM55,-1.5571849,1.0,-0.08971446,HACD1,0.4133242,1.0,0.3066917,LRRN4CL,-18.781227,1.0,-0.09727632,FEV,0.0,1.0,0.0,PACRG,-17.864658,1.0,-0.07086794,CYSRT1,-20.157063,1.0,-0.15071411,TXLNB,0.05087233,1.0,-0.06685966,LCN2,-21.951307,1.0,-0.105857246,APPL1,-0.24076092,8.865665377653209e-23,9.920387,OSER1,-0.37153628,7.088407336755124e-09,5.943709,BLOC1S1,-0.0826305,0.011099225682082915,2.81296,OR2B11,-17.30863,1.0,-0.013008043,PAQR4,-22.216448,1.0,-0.3116095,ULBP1,-19.3815,1.0,-0.15918277,NTRK2,-21.161667,1.0,-0.14009681,ZNF517,1.8094754,1.0,-0.07215501,RHBDL1,-20.214533,1.0,-0.026733106
MS4A10,0.15582867,1.0,0.040289547,DCAF4L1,-2.5657506,1.0,-0.08978621,C16orf74,-0.49517256,1.0,0.3066658,TMEM266,-19.101318,1.0,-0.09727632,OR7D4,0.0,1.0,0.0,TSHR,-19.447828,1.0,-0.07086794,GPR156,-20.119247,1.0,-0.15071411,ANKRD9,1.2004906,1.0,-0.06744361,RNASE3,-22.697596,1.0,-0.105857246,NUDT16,-0.11052222,1.0068311162336001e-22,9.907654,DDX59,-0.356544,7.235324615417944e-09,5.940324,NME6,0.30683678,0.011119629127968761,2.812329,MYF6,-16.862429,1.0,-0.013008043,FIGN,-21.585009,1.0,-0.31287107,TNFRSF10C,-21.112343,1.0,-0.15918277,ERP27,-22.765024,1.0,-0.14009681,RAB24,2.1840985,1.0,-0.07264101,KIAA0319,-20.406057,1.0,-0.026733106
PRAMEF18,1.8953727,1.0,0.040289547,EPHB6,0.35918418,1.0,-0.090189815,CFAP299,2.5244594,1.0,0.30664986,TMEM26,-18.977314,1.0,-0.09727632,PLSCR5,0.0,1.0,0.0,PFKFB1,-0.6560163,1.0,-0.071929015,CSRNP3,-19.714518,1.0,-0.15071411,HSD11B2,-19.977962,1.0,-0.06760888,SPRN,-19.739134,1.0,-0.105857246,MTRF1,-0.20550944,1.0484528787991041e-22,9.903576,FAHD2A,0.15831769,7.2370033999653204e-09,5.940263,TECR,0.20643707,0.011142039085073191,2.8116093,PPIAL4A,-16.388071,1.0,-0.013008043,NR3C2,-23.631485,1.0,-0.31287107,ANKRD39,-19.98182,1.0,-0.15918277,CD93,-23.043457,1.0,-0.14009681,COLEC10,-19.835602,1.0,-0.07289872,ZNF474,-19.67352,1.0,-0.026733106
KCNC1,2.8728,1.0,0.040289547,GNL2,0.39849347,1.0,-0.09129076,NTF3,0.25228462,1.0,0.3062894,KRT36,-19.366627,1.0,-0.09727632,HEPACAM,0.0,1.0,0.0,PAK6,-0.64376086,1.0,-0.071929015,TNFRSF6B,-20.905132,1.0,-0.15071411,RTL9,-18.491957,1.0,-0.06760888,PDZK1IP1,-22.845844,1.0,-0.105857246,MED11,0.24089967,1.0626753660444903e-22,9.902215,FBXO36,1.7164096,7.2776602507545855e-09,5.9393215,RCCD1,0.20372315,0.011145667211369656,2.8114562,SMIM18,-17.844015,1.0,-0.013008043,MED12L,-23.725334,1.0,-0.31413266,MYOZ1,0.13818786,1.0,-0.15944308,BMP2,-2.0462737,1.0,-0.14053571,SNCG,-20.034384,1.0,-0.07289872,WNT10B,-20.626486,1.0,-0.026733106
FAM187B,1.6001399,1.0,0.040289547,KDM8,0.05249749,1.0,-0.09210245,ZNF284,0.5401965,1.0,0.30599862,VPREB1,-21.148928,1.0,-0.09727632,ARR3,0.0,1.0,0.0,TRIM9,-2.584558,1.0,-0.07201337,PHKG1,-21.392393,1.0,-0.15071411,DRAXIN,-20.337786,1.0,-0.06760888,ZBTB12,1.4198654,1.0,-0.1063443,RALY,-0.17801368,1.1264448873983585e-22,9.896372,ZNF614,0.4315473,7.346430313542948e-09,5.937733,ATL1,0.6456699,0.01125405895184667,2.8082607,AKR1B15,-15.677043,1.0,-0.013008043,DLL3,-21.598854,1.0,-0.31413266,FAAH,0.25962815,1.0,-0.15968603,KHDC1,-0.32925934,1.0,-0.14082414,NOX5,-20.22353,1.0,-0.07289872,AKAP3,-19.750336,1.0,-0.026733106
MRGPRX4,-0.07601296,1.0,0.040289547,KCNQ4,0.027290018,1.0,-0.092151776,RBMX2,-0.0051592495,1.0,0.30512434,SERPINA5,-18.550434,1.0,-0.09727632,OR10D3,0.0,1.0,0.0,CLEC4C,-2.56113,1.0,-0.07207109,GDPD1,0.75433385,1.0,-0.15117237,ZNF385D,-20.238935,1.0,-0.06760888,NPAS2,0.6262393,1.0,-0.10640028,TECPR2,0.40251657,1.1884341191661422e-22,9.890996,APBA2,0.6145578,7.424677872982486e-09,5.935972,TOP3B,0.15026529,0.011296705147116535,2.8070023,ALB,-16.764595,1.0,-0.013008043,MCMDC2,-21.669653,1.0,-0.31413266,NRL,1.5070685,1.0,-0.16009906,S100B,-21.685108,1.0,-0.14104986,NRN1L,-21.260754,1.0,-0.07289872,TSNAXIP1,-19.409245,1.0,-0.026733106
