C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score
ABCC1,-0.0101239,0.7819568282056558,-0.684459,FAM207A,-0.6304892,0.0006626252067288169,-3.5810091,BBC3,-0.31694424,0.2267294064814524,-1.6020181,GAL,-1.6545105,0.9169523886523373,-0.4950022,PCDHGC5,0.18630703,1.0,-0.18720439,HRH4,-25.62432,1.0,-0.61724085,ZBED4,0.974153,0.25656195755876154,-1.532206,BCAS4,0.8282001,0.40002885661813525,-1.311059,CAMK2A,2.0425143,0.43241949691100334,1.0627286,NUBP2,-1.957512,0.00887663213343379,-2.8674548,DNER,-24.970621,0.016016706964125865,-2.6658742,PMS1,-0.24315624,0.27440216299030035,-1.5234724,TTLL4,-1.540316,0.51139745680327,-1.1575582,ASL,1.0042816,1.0,-0.5074473
OLFM2,-3.638926,0.7819398399448728,-0.68454444,ZNF470,-1.0919325,0.0006569238822535528,-3.583322,KIAA1958,-2.031397,0.22656911646958008,-1.6024238,ZHX2,0.109838374,0.9165738791394348,-0.49543697,TMEM184A,-0.18590452,1.0,-0.18728022,B2M,-0.3304262,1.0,-0.61754495,TGFA,-3.3216455,0.25645374729149817,-1.5324781,LAS1L,-0.18986604,0.3998124890221196,-1.3114285,PRSS35,3.5549536,0.4338891789253393,1.0604686,WRAP53,-25.53239,0.008874613936065695,-2.8675642,KSR1,-0.3012434,0.01599987795203317,-2.6662664,SLC7A6OS,-1.4236628,0.27440216299030035,-1.5234976,NICN1,1.1661361,0.5110328765197678,-1.1580589,CDS2,0.8362466,1.0,-0.5074473
NRF1,-0.11683027,0.7803639138009044,-0.68632674,KYAT3,0.011634015,0.0006523474776211493,-3.5852027,ZNF449,-0.97917265,0.22656911646958008,-1.6024601,SP4,-0.3964561,0.9163950477061036,-0.49568027,ISLR2,-2.3019145,1.0,-0.18734147,EIPR1,1.5796007,1.0,-0.61853665,RBMX2,-0.2397643,0.25639190959323327,-1.5326582,NEXN,0.344807,0.39960814537627426,-1.3117812,DES,1.874192,0.434818204686544,1.0590562,LRRC8B,-3.299609,0.00882040664292882,-2.86954,SLC19A3,-25.746426,0.015937242031433468,-2.6676235,WDR48,-0.13237976,0.274024695909077,-1.5242965,USP13,0.74239695,0.5109545349186322,-1.1582209,C11orf95,0.057217155,1.0,-0.5077515
SLAMF1,-0.8672042,0.7798575131766408,-0.6869022,PDCD7,-0.25284714,0.0006416128566838369,-3.5895584,PABPC1L,-1.1504045,0.22642659159553205,-1.6028478,KCNRG,-0.7983847,0.9159292490038431,-0.49619883,DYNLRB2,-1.3656152,1.0,-0.18735313,PARPBP,-24.825878,1.0,-0.6185895,PDSS1,0.6731881,0.2561299743272686,-1.5332355,ZFAT,-1.0466969,0.39943571903420394,-1.3120891,CDKL4,1.0747839,0.435207702613686,1.0584339,WDR76,-2.4264824,0.008791752538188365,-2.8706064,PRELP,-24.840418,0.015937242031433468,-2.6676235,TJAP1,-0.0956994,0.2737331571171265,-1.5249003,UMPS,0.054690175,0.5106398859128424,-1.1586627,PRDM5,-1.1154627,1.0,-0.50820786
P2RY8,-1.6355013,0.7797009156240466,-0.6871275,ZMAT2,0.19354953,0.0006356596000702047,-3.5920157,FGD6,-24.661411,0.22633691598504246,-1.6031567,DES,-0.7788989,0.9151724511208909,-0.49706838,ASPRV1,-0.16063541,1.0,-0.18758939,AMPH,-24.311548,1.0,-0.6185895,PIGH,0.92586404,0.25584047540355015,-1.5338678,VSIG10,-0.943606,0.3994106239403494,-1.3121898,GRAMD1C,1.0085708,0.43628924645455375,1.0566431,CDK2AP2,-25.467928,0.008772162697212985,-2.871349,CDT1,-4.7280636,0.015864192574127668,-2.6692443,SIX4,-1.547265,0.2734485915995563,-1.5254917,PSG4,-24.149506,0.5103377866171858,-1.1590898,DDX60,-1.0218924,1.0,-0.5083853
MMP28,-3.0432537,0.7789944582476785,-0.68795615,IKBKB,0.31643626,0.0006343691680422549,-3.5925732,NBDY,-24.591135,0.22633691598504246,-1.6031567,TTC25,-1.1932355,0.9144851248678357,-0.49779963,ZNF837,-0.5240311,1.0,-0.18826458,MT1X,0.27638924,1.0,-0.6195283,NFE2L3,-2.798382,0.25539458639505247,-1.5349268,ZNF382,-0.22848175,0.3993974759021158,-1.3122739,OPA3,-0.99481386,0.4374013015366812,1.0549688,ZFY,-25.39922,0.008738250301759131,-2.8726106,SSBP2,1.0468572,0.015850945397024724,-2.6695635,CDK15,-3.147572,0.2731473971686909,-1.5261145,HAAO,-25.272655,0.5097127880608665,-1.1598997,ZFP64,0.49892983,1.0,-0.50848675
IL17RD,-1.9034544,0.7785238597257129,-0.68851185,PRR5,-3.0952165,0.000631252779913306,-3.5938838,ANKRD6,0.12626943,0.2260251516414933,-1.60395,TSLP,-0.18488093,0.9144199016170216,-0.49800572,LETM1,0.6386546,1.0,-0.18860874,NKX6-1,-24.5816,1.0,-0.6199382,SPATA13,0.38414058,0.25539458639505247,-1.5349305,PDCD2L,-1.0029461,0.3993974759021158,-1.3123242,TSLP,-0.5275523,0.43820248225732417,1.0536965,BMERB1,-24.990364,0.008669750952774122,-2.8751338,ARNTL,0.59093094,0.015788365659801594,-2.6709692,ASB1,0.059125643,0.27307881727897476,-1.5263032,PTPRO,-1.1119024,0.5096469710084086,-1.160047,EFCAB2,-1.5805963,1.0,-0.5086895
BRINP1,-3.8132935,0.7784739805477198,-0.6886302,SETBP1,-24.42046,0.0006310518230721659,-3.5939944,POU2F1,-0.20244658,0.22600118206762823,-1.604059,ZNF396,0.055643875,0.9127894998914802,-0.49971426,SH2D4B,0.18460315,1.0,-0.18867436,WARS2,-0.026935795,1.0,-0.62032163,RARRES1,-0.1151449,0.25481268784266164,-1.5362576,IFIT3,-1.0422528,0.39827745548236476,-1.3139813,SORT1,-0.3925694,0.44130448045077675,1.0490874,NLRC4,-26.22049,0.008636196559422047,-2.8763952,KCNC4,0.017110595,0.015776479523811046,-2.6712608,MAGEH1,0.10932493,0.27281158178274867,-1.526863,BNC1,-24.376846,0.509146616357352,-1.1607097,ARMC6,0.98615265,1.0,-0.508829
PIANP,-21.263647,0.7779024521418593,-0.68927145,SPEF2,-1.1946678,0.0006269223267547782,-3.5957596,SCLY,-24.840136,0.22598831617256238,-1.6041439,FBLL1,-3.9675794,0.9127090719399155,-0.49986318,FAM110A,-0.2385506,1.0,-0.188845,NSMCE4A,0.19624142,1.0,-0.62049353,RNF182,-23.816452,0.2545869739810443,-1.5367651,PRIM1,-5.688265,0.39799022822548036,-1.3144516,PLPPR4,2.3225925,0.44163630452221836,1.0485538,KYAT3,-25.585205,0.008636196559422047,-2.8763952,NLRX1,-1.1000849,0.015750912010795516,-2.6718438,MARCH3,-25.370281,0.272554630457887,-1.5274041,RAC2,0.25807995,0.5090994529838982,-1.1608349,GABBR1,-24.46234,1.0,-0.508867
ZAP70,-24.101612,0.7779024521418593,-0.68927145,OSGEP,0.30202794,0.0006239633161793592,-3.5970187,CTTNBP2,-26.923676,0.22598831617256238,-1.6041439,SERPINA9,-4.698106,0.9127090719399155,-0.49989507,SRSF12,-0.08369705,1.0,-0.19001892,SLC49A3,-24.957905,1.0,-0.62083733,SPA17,-0.03890153,0.2542361261652221,-1.5375224,LIN7B,0.5824214,0.39799022822548036,-1.3144628,CCDC158,1.7442309,0.4423237914687344,1.0475061,STK32C,-2.3543057,0.008596773110893777,-2.877914,TJAP1,0.989679,0.01574246986436291,-2.6720626,GOLPH3L,0.5503205,0.27214326000000555,-1.5282344,ACSS1,-0.7419475,0.5086180370119765,-1.1614755,C20orf96,-24.38316,1.0,-0.509805
TRIM6,0.0058167083,0.7779024521418593,-0.6893471,C22orf39,0.56337404,0.0006239633161793592,-3.5970316,CHEK2,-1.1972208,0.2259598163217992,-1.6043195,LRRC4B,-5.694871,0.9126977561185222,-0.5000174,SBNO1,0.25981018,1.0,-0.19002913,MICALL1,-24.079384,1.0,-0.62083733,TRIM68,-2.6342251,0.25399054236374374,-1.5380702,PCDHGA7,-1.5050191,0.39799022822548036,-1.3145523,SLC6A17,1.7154287,0.4444780672161285,1.0441831,ZNF717,-25.224121,0.00857045723154215,-2.8789184,NELFA,1.1006297,0.015732892536381826,-2.6723056,DOHH,-1.3893212,0.2719572923375882,-1.5286433,TATDN1,-24.444174,0.5086180370119765,-1.1615198,MORN4,-23.693003,1.0,-0.510743
MIEF2,0.40025747,0.7773674306406803,-0.690013,PPT2,-0.35149136,0.0006227694887018854,-3.5975728,SLC43A1,-25.4129,0.225614155638441,-1.605131,TRAT1,-4.974423,0.9126977561185222,-0.5000227,CXCL6,-0.12136761,1.0,-0.19022308,HSPA14,-24.525078,1.0,-0.62083733,MFAP4,-1.3170929,0.25377824371607643,-1.5385519,SLC19A2,-2.5175886,0.3976689234815285,-1.3151009,ZNF10,-1.3206928,0.4447626036903942,1.0436667,TECPR2,-25.139894,0.00857045723154215,-2.8789184,CCDC85C,-0.93125474,0.01552535792953247,-2.6767967,PSRC1,-25.159641,0.2716371761385871,-1.5293038,PPP4R2,1.2096493,0.5085113568334276,-1.1617407,TAOK1,0.20226996,1.0,-0.51089513
ZNF232,-0.37811938,0.7734153479668833,-0.6941859,CHST7,-2.2326567,0.000617955977140983,-3.599619,WDHD1,-25.052807,0.225614155638441,-1.605131,PPP5D1,-0.76398414,0.9122724216124423,-0.50056916,MORN3,-1.1937615,1.0,-0.1903135,MND1,-25.342648,1.0,-0.62128687,TP53INP2,0.7126915,0.25352563404203093,-1.5391144,GCNT2,-25.290045,0.39764785118231377,-1.3151962,TMEM200C,2.040683,0.4465241770550514,1.0410783,TSPAN13,-2.539057,0.008569905995134441,-2.8790138,OXSM,-0.27455717,0.015498225372953105,-2.6774213,UIMC1,-0.75347257,0.2706964677578694,-1.531191,PRKAR2B,-26.173777,0.5080736589099325,-1.1623297,SLC8B1,-1.5552759,1.0,-0.51119936
CCDC24,0.3642067,0.7730146630728871,-0.6947252,BRCA2,-0.5373244,0.0006179192017594007,-3.5996623,TMEM161B,0.08495551,0.22543883097692421,-1.6056275,RASGRF2,-3.8914018,0.9120992200433197,-0.50080717,TBC1D32,0.67123395,1.0,-0.19036308,KIF14,-25.544792,1.0,-0.62128687,POLR3E,0.8502503,0.25269698245354827,-1.5408313,BTBD19,-2.861219,0.39764785118231377,-1.3152521,TBX19,-0.3844855,0.4481181835341935,1.0386834,TMEM255B,-25.725044,0.00853927870475713,-2.8801801,MED9,0.5416428,0.015358344675538142,-2.6805346,NARS2,-0.5785699,0.2706964677578694,-1.5311972,USP45,1.0924307,0.5079769648053463,-1.1625137,TTI2,-1.102337,1.0,-0.5112247
ZNF688,-0.6590119,0.7728028988450755,-0.6950064,ZNF408,-1.365615,0.0006135045413191419,-3.6015544,SPIN3,-1.0626658,0.22514458234954168,-1.6063846,SUSD2,-0.9988427,0.9120992200433197,-0.500855,TGIF2,0.3966677,1.0,-0.19039372,SGSM2,-0.12785217,1.0,-0.621353,KIFC3,1.0809057,0.2526112378342119,-1.5411181,DOP1A,-3.3223855,0.3968402240846763,-1.3164669,MIIP,-1.2538539,0.44861430084158815,1.037919,TRMT10A,-25.342861,0.00853927870475713,-2.8801801,NAXD,-0.21970826,0.015358344675538142,-2.6805658,MARCH2,-1.6187531,0.2700787733800163,-1.5324743,NAALADL2,-24.126446,0.5075085833336981,-1.1631397,RHEX,-2.4089987,1.0,-0.5113261
EME2,-0.5197176,0.7723590391947739,-0.695521,NCKAP5,-23.734657,0.0006116887753088656,-3.6023526,TMEM256,0.25002185,0.22426510639975183,-1.6084256,PAX5,-23.340294,0.9105623659809314,-0.5024984,TIGIT,-21.910297,1.0,-0.19045496,CACFD1,-24.468634,1.0,-0.6217364,TRIP4,0.93973947,0.25168246777194464,-1.543041,UBL4A,-0.71300167,0.3968402240846763,-1.3164837,GRB14,2.5029042,0.4488421361663111,1.037486,AADAT,-25.128033,0.00850719095475017,-2.8814416,CALHM6,-1.858228,0.015252325605109997,-2.6829295,IL18BP,-1.3204396,0.26969021990825864,-1.5332669,ALPK1,-24.979702,0.5075085833336981,-1.1631397,HS3ST3B1,-24.329222,1.0,-0.511681
ZNF90,-0.8013015,0.7720362076125986,-0.695914,PLCE1,-23.549614,0.0006116887753088656,-3.6023526,STXBP6,-2.467576,0.22401237133697807,-1.6090373,OR2S2,-20.203981,0.9105623659809314,-0.5024984,OTOF,-20.885977,1.0,-0.19045496,DDX27,1.3177294,1.0,-0.62181574,PDK3,-0.917931,0.25168246777194464,-1.5430815,PTPN13,0.61934304,0.3968402240846763,-1.3165118,MISP,2.4882102,0.44918191085053527,1.036946,CEP68,-25.510164,0.008474204378890736,-2.8827033,KLHL22,1.1440849,0.015187888152278551,-2.6843836,FAM131A,-25.105806,0.26930541832684673,-1.5340532,FASTKD3,-1.569081,0.5073958263864589,-1.1634121,TSPAN2,-2.0445993,1.0,-0.5119599
MTOR,0.2842026,0.7711954131373695,-0.69696456,ZNF471,-3.3762736,0.0006100905221505146,-3.6030881,MACROD1,-24.84146,0.22401237133697807,-1.6090796,SNX22,-22.988432,0.9105623659809314,-0.5024984,PPFIA3,-0.16762786,1.0,-0.19067225,RBBP5,0.78439593,1.0,-0.62239754,C11orf80,-0.81072855,0.25075119973558524,-1.5450889,STBD1,-2.1280577,0.39666214378386455,-1.3169148,ABRACL,-0.7999899,0.4503493224118993,1.0352226,TXNDC16,-1.1928525,0.008426160134987908,-2.8845313,ZNF566,0.9138757,0.015066139530624096,-2.6871119,GRPEL2,-24.547712,0.26930541832684673,-1.5340532,INTS9,0.7748749,0.5073177820902632,-1.1635741,MS4A4A,-25.440748,1.0,-0.51215
PCDHB3,-20.854,0.7709175792853245,-0.69738054,CST6,-0.40695474,0.000602381666997961,-3.6064465,LIAS,-1.3829514,0.2239674763532635,-1.6092492,ST6GALNAC4,0.15211664,0.9074169170559737,-0.50580907,CLCA2,-1.4420034,1.0,-0.19094642,VPS50,1.124642,1.0,-0.622424,DCAF4,0.9982701,0.249864004613938,-1.5469382,SORL1,-25.727877,0.3964113252615817,-1.3173347,CCDC120,-0.708596,0.4518611762420526,1.0330105,TMEM242,-2.9140382,0.008417610554996232,-2.8848884,PEX12,-0.50596637,0.015035189512617852,-2.6878371,MEF2D,0.5248991,0.2692095939306061,-1.5343552,CCNE1,-24.774912,0.50706020206035,-1.1639497,SYNGR1,0.37999624,1.0,-0.5121627
HNRNPH2,0.0623402,0.7699664272891441,-0.6984065,SIRT3,0.1529532,0.0005927221472940326,-3.610669,CRISPLD1,-24.897264,0.22272532156686153,-1.6120411,HIST4H4,-0.5715713,0.9073571663419404,-0.50593805,OVCH2,-3.8410125,1.0,-0.19099599,RFX7,0.8705104,1.0,-0.6226091,RFC3,-0.012353192,0.24966880957760595,-1.5473905,COQ10A,-0.9916874,0.3958716788579235,-1.3181632,DLG2,1.1542944,0.4521581196244741,1.0325336,CH25H,-26.73903,0.008409577471318113,-2.8852262,ZNF524,-0.44204262,0.015026147784797344,-2.6880765,SLC38A1,0.15675491,0.26902842579299535,-1.5347577,CRISPLD2,-24.775389,0.50706020206035,-1.1639497,FAM200A,-0.090739176,1.0,-0.5121627
LRRC75B,0.345285,0.7685043851035882,-0.70001614,DHRS11,0.1464893,0.0005872993804715933,-3.6130798,CCDC32,0.042924013,0.22251504168177594,-1.612562,ZC2HC1C,-0.50830454,0.9065620255680981,-0.50684613,OR8A1,-6.149178,1.0,-0.191066,EXOC8,0.6695328,1.0,-0.6233231,ADGRG6,-24.190092,0.24925048649561593,-1.5482949,SNRPC,0.31468007,0.3946846350411039,-1.3199098,C1QL1,1.1071297,0.4530781485800741,1.0311694,SFI1,-25.733871,0.008343410436267035,-2.8877494,UBA7,0.8013404,0.015011648173074666,-2.6884375,MED11,-0.29340842,0.26880614692404736,-1.5352987,DBP,0.67887414,0.50706020206035,-1.1640381,SNRPB,1.0029181,1.0,-0.5125683
SNRPA1,-0.063830726,0.7683484876680174,-0.70024145,NUDT12,-1.8049495,0.0005864786161839531,-3.61347,WDR5,-24.620985,0.2218832264538775,-1.6140155,SHPK,0.13177955,0.9064829201477209,-0.5069937,SLC22A1,-2.4289138,1.0,-0.19157495,ACSS1,-1.0963687,1.0,-0.6236008,PPIL2,0.8947356,0.24924428157655296,-1.5483648,ALKBH8,-3.7971601,0.3943596898869716,-1.3204361,PSPC1,-0.8894563,0.4539106539878545,1.0299314,IPMK,-25.516748,0.008343410436267035,-2.8877494,ARL4D,-0.21114658,0.014940347280316561,-2.6900654,YBEY,-2.6344035,0.26847214874153924,-1.5359907,XPO1,0.90058434,0.5058860616593709,-1.1655549,TNFSF9,-24.26472,1.0,-0.512619
ZMAT4,-21.669777,0.7673000160815625,-0.7014351,FGD5,-6.1638403,0.0005854448001306754,-3.613955,COQ8B,-0.49948677,0.2218513290775336,-1.6141427,GSTO2,-0.33669755,0.9063609883955516,-0.50718254,ASMT,-2.921429,1.0,-0.19157495,MON1B,0.60099226,1.0,-0.62385195,APBA2,-0.21201095,0.24835571745672344,-1.5502251,CEP89,-1.3927388,0.39408225333993846,-1.3208951,HIST1H3H,-1.4750613,0.455280220713159,1.0278786,OFD1,-3.1510704,0.00833807286167301,-2.8880255,CALB2,-26.56008,0.014928715861782989,-2.690364,NUF2,-25.912273,0.2680221824032389,-1.5369028,SMYD5,0.6583718,0.5048902301819571,-1.1668804,PANX1,1.3423712,1.0,-0.51291054
SPRY3,0.17245883,0.7662906836190869,-0.7025219,PATZ1,0.0057944884,0.0005794334910598849,-3.6166565,SLC18A2,-2.5728116,0.22175925807026395,-1.614403,TBX4,-20.611485,0.9057755592399606,-0.5079603,ACSBG2,-1.2521254,1.0,-0.19204597,LRRN3,-25.033104,1.0,-0.62443376,GGT7,0.7628508,0.24794448188619447,-1.5511185,ALDH5A1,-1.7373421,0.39406519294893566,-1.3209847,TMEM232,0.55801594,0.45531855276712385,1.0277524,RILP,-0.6362974,0.0083139825736584,-2.888973,MCM3AP,1.4087563,0.014925474062649493,-2.690475,GRK6,-0.24025436,0.2680221824032389,-1.5369216,SRSF11,1.1459545,0.5047259776028746,-1.1671455,SSBP1,0.5497252,1.0,-0.5129486
AP4S1,0.3428114,0.7651420597151405,-0.7037649,ARPC3,0.22102672,0.0005781386523414408,-3.6172636,TMEM99,-24.407263,0.22151413987141474,-1.6150026,ATRNL1,-20.455593,0.9057755592399606,-0.5079603,LRRC4C,0.113408536,1.0,-0.19233763,ZBTB49,-24.808172,1.0,-0.62443376,CTU2,1.1102499,0.2476312314707973,-1.5518135,TSPAN18,-0.44589633,0.3940363039874881,-1.321091,FAM131C,2.7016752,0.45531855276712385,1.0277171,PLEKHG5,-25.043114,0.00824749626222607,-2.8915343,CARS,-0.012592081,0.014868611746726466,-2.6917868,H6PD,-1.6534061,0.2680221824032389,-1.5369406,AMBRA1,0.6647169,0.5047259776028746,-1.1671675,PTPRQ,-24.250084,1.0,-0.51308805
TRIM28,-0.028901502,0.7642289091577976,-0.70480895,GEN1,-0.11168654,0.0005779820030211629,-3.6173615,C1orf35,-24.907585,0.22109453560356077,-1.6159898,TMEM200C,-20.670326,0.9057755592399606,-0.5079603,OSBPL7,0.57848805,1.0,-0.19264388,TRMT61B,1.4132473,1.0,-0.62456596,NYNRIN,-1.14775,0.24759794947812855,-1.5519384,B3GALNT1,-1.1831309,0.39371959329539913,-1.3216062,RAPGEFL1,-0.44796848,0.45579850136296274,1.0269827,C19orf47,-25.263592,0.00824749626222607,-2.8915343,FERMT3,-0.0728261,0.014749918489988259,-2.6944976,OTULINL,-2.5326912,0.26788224675320815,-1.5373495,ANG,-24.40288,0.5034481350790458,-1.1688095,OPCML,-23.874544,1.0,-0.513557
PLAC8L1,-5.1089196,0.7641236995351136,-0.70498323,FHAD1,-2.4822135,0.000576328935296265,-3.618131,KCNN4,-25.22932,0.22109453560356077,-1.6159898,FAM81A,-4.301896,0.9031316049757715,-0.5107924,RNF128,-1.3683822,1.0,-0.19307554,TTK,-25.5008,1.0,-0.6248833,MYO6,1.1167674,0.24718585198432594,-1.5528355,ZNF674,-5.506812,0.3935370162528489,-1.3219308,ZNF609,-1.0963813,0.4563103783890659,1.0261497,MAPK11,-25.066725,0.008216398534580336,-2.8927958,TMEM99,-1.9145387,0.014747785044040555,-2.6945844,RBM41,-1.9101125,0.26787767362169307,-1.5374186,TESK2,-0.59987766,0.5034481350790458,-1.1688243,TMEM53,-24.384254,1.0,-0.513557
KCNQ3,-4.613902,0.7641236995351136,-0.7049898,LSM2,0.52751774,0.0005761906176987425,-3.6182208,ANP32A,0.37783635,0.22108274087869415,-1.616129,CD247,-3.8708332,0.9025641141342398,-0.5114106,C10orf90,-0.18549693,1.0,-0.19403365,RTEL1,-24.62504,1.0,-0.6248833,CLTCL1,0.03977581,0.24686971565042368,-1.5535377,NHP2,0.5121861,0.39348450705180277,-1.3220707,ICAM3,-1.789693,0.4572219194850697,1.0246979,FZD8,-25.267616,0.008151608102806622,-2.895319,CNST,1.2054591,0.014737053745905882,-2.6948655,CCP110,-0.79026145,0.26781665699117324,-1.5375948,DMAC2L,1.2577773,0.5034481350790458,-1.168898,IL9R,-25.995686,1.0,-0.514495
GALNT16,-20.711498,0.7638243461449528,-0.70548964,ODF2L,-1.7332314,0.0005748811314430105,-3.6188376,SLC22A15,-1.3876566,0.22090635373191767,-1.6165773,TEDC1,-0.15789285,0.9016547597337147,-0.5123586,FAM221A,0.32143435,1.0,-0.19411969,TYW5,-24.565996,1.0,-0.6248833,RIMS1,-0.21584326,0.24662586319345525,-1.5540929,LDB3,-0.95796824,0.3934398838254151,-1.3221995,CCKAR,3.1219497,0.460696458417792,1.0195767,LRRC25,-26.290077,0.008151608102806622,-2.895319,AFF2,-25.382343,0.014705786450401794,-2.6956117,THNSL2,0.043533508,0.26762952958291913,-1.53801,P2RY2,-25.302113,0.5029439901501404,-1.1696196,PES1,1.0222366,1.0,-0.51526827
EFNA5,-4.270099,0.760616247680911,-0.70894074,CFAP410,-0.3277379,0.0005675385242284472,-3.6221912,STAT5B,0.78941894,0.21975880634555572,-1.6191875,SPAAR,-20.311354,0.9007734972933553,-0.5134223,PAN2,0.47490275,1.0,-0.19495967,CAMKMT,1.107234,1.0,-0.6251742,PAPPA2,-3.528003,0.24642175638906777,-1.5545672,ACAP1,-5.9029107,0.3934398838254151,-1.3221995,SMIM10L2B,2.363636,0.461189004949891,1.0188293,INTU,-25.099499,0.008088243783931004,-2.8978422,CDC40,1.0282512,0.014671383970471772,-2.6964688,ALMS1,-0.34829214,0.26737285478171563,-1.5385572,BOC,-24.194935,0.5029439901501404,-1.1696196,FOLR3,-25.029627,1.0,-0.51590204
CELSR2,-4.460648,0.760616247680911,-0.7089605,CCN4,-23.640392,0.0005652844630335289,-3.6232479,ZNF234,-2.1328192,0.21940956709921966,-1.6200233,SEL1L2,-20.017845,0.9007734972933553,-0.5134223,NEB,-20.303526,1.0,-0.19521633,RSAD2,-26.285622,1.0,-0.6253329,GRK6,0.5201901,0.2456620300199712,-1.5562364,SYNGAP1,-1.2539574,0.39255151011593853,-1.3235935,ATRNL1,2.3720763,0.4623180531542903,1.0171336,FAAP100,-2.460379,0.008045847885831332,-2.8995273,ANKRD12,1.0893246,0.014618737894007429,-2.6977046,FLVCR2,-5.068286,0.26692753963944144,-1.539463,AHRR,-0.1006055,0.5027209051161359,-1.1700245,COX6C,0.57802,1.0,-0.51605415
ZNF713,-0.043034226,0.760616247680911,-0.7090148,SPATA2,-0.07043452,0.0005567797300434999,-3.6272488,PGAP1,-24.622047,0.21903095507624187,-1.6209257,DLG2,-2.5056374,0.9007734972933553,-0.51351535,HSD11B2,-20.175354,1.0,-0.19521633,GIN1,-24.439693,1.0,-0.62578243,HSD17B6,-23.773222,0.24554639687145932,-1.5565305,C15orf48,-1.6832478,0.3922395345022473,-1.3241029,RFX8,-0.4630407,0.4634404280661251,1.0154498,TMEM97,-25.73052,0.008025325147998792,-2.9003654,ZNF668,-0.016664473,0.01452362979918088,-2.6999154,FOXO4,-0.61770064,0.26643978810624847,-1.5404507,SMUG1,-0.34742126,0.5026801713031338,-1.1701424,ZNF225,-23.844118,1.0,-0.516371
COG5,0.22601366,0.7593046562715171,-0.710677,STK40,0.25629508,0.0005534663310970276,-3.6288178,LYSMD4,-1.2445358,0.21897224650210573,-1.6211134,MS4A4A,-0.45496842,0.8999764622071832,-0.51447135,MSTN,-19.299656,1.0,-0.19521633,FBXL2,-24.00865,1.0,-0.62578243,MIPOL1,0.14318189,0.24539494320902902,-1.5568982,C6orf132,0.72888726,0.39223037111802134,-1.3241813,GKAP1,-1.082832,0.46384915182606645,1.0147879,ZNF567,-25.408697,0.008025325147998792,-2.9003654,RPP25,-0.5419647,0.01451834313143268,-2.700075,YPEL3,0.48366967,0.2663194826938593,-1.54074,AQP3,-25.61019,0.5011452080017194,-1.1720495,SRRM1,0.62725586,1.0,-0.51644707
HMGN3,0.10327787,0.7585094515273297,-0.71161914,ASPM,-0.92287993,0.0005482777265604692,-3.6312768,FNIP1,0.9118391,0.21877277824662653,-1.621616,UBQLNL,-3.9097927,0.8983896166534652,-0.51622105,GABRB3,-19.43206,1.0,-0.19521633,WDR55,1.1056072,1.0,-0.62602043,TNFAIP6,0.16632809,0.2446169606433655,-1.5585526,ACO2,0.102579616,0.39198536695297204,-1.3245956,SYN1,2.131845,0.46384915182606645,1.0147687,AARSD1,-25.23797,0.007994984228513512,-2.9016268,NAPB,-0.7805609,0.014480234468258926,-2.7009878,SOWAHC,-1.3802352,0.2662256570383473,-1.5409791,GEMIN5,1.1624882,0.5009816771889828,-1.1723146,ZNF383,-0.16607617,1.0,-0.5165231
VSTM1,-2.8893812,0.7583331341694033,-0.7118657,ELFN1,-2.1398358,0.0005457009837284327,-3.63252,ADGRB2,-24.550625,0.2186654176036704,-1.6219128,CFAP45,-0.93473655,0.8980191808716745,-0.516721,FEM1A,0.3474852,1.0,-0.19571507,ST3GAL6,0.14625461,1.0,-0.62636423,CDCA8,-2.7166338,0.2437588201018404,-1.5603763,WDR19,-2.516326,0.39192119162085304,-1.3247523,TMEM132B,2.8744774,0.465429395769648,1.012393,ACY1,-25.409298,0.007994984228513512,-2.9016268,METTL7A,-1.9883053,0.014310397315445225,-2.704948,MMP15,-24.64294,0.2659039286323743,-1.5416522,MYL5,0.63758296,0.5009816771889828,-1.1723735,YY1AP1,0.78612924,1.0,-0.5166626
