C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score
TSPAN10,2.8874176,0.08513554512271461,2.0635533,PIH1D3,0.0,1.0,0.0,CDK18,1.0502027,2.0594105631459915e-05,4.4585514,LINGO4,-16.61464,1.0,-0.0036892986,ACTL6B,-16.693808,1.0,-0.0017098014,OR6C70,-15.157361,1.0,-0.0028111064,OR8D1,-17.23854,1.0,-0.0032914362,IFNB1,-14.176264,1.0,-0.0017421474,SLC25A11,0.10634217,1.0,0.52962583,TOX3,-15.242979,1.0,-0.0016414863,SHISA2,2.2898824,0.005316536823909307,3.1785543,GLIPR1,0.57883114,2.2451848311446395e-31,11.785391,VTI1A,0.17014728,6.117925771947667e-48,14.65615,COA3,0.52580476,5.0413626722069064e-18,8.819466,SLC14A1,1.8915076,2.9522845115010926e-35,12.517809,HCRTR2,-15.8642025,1.0,-0.0075694616,MYH1,0.0,1.0,0.0,TBC1D3B,-17.428265,1.0,-0.0028873899,MRGPRX2,-15.386306,1.0,-0.0016199717,GNGT1,-14.679274,1.0,-0.00046900185,GPRIN2,-16.628874,1.0,-0.004588405
SEPSECS,0.507612,0.08514387856740611,2.0634634,CNTN6,0.0,1.0,0.0,PPP1R7,0.065443195,2.0914785657827854e-05,4.455149,LCE1A,-15.888095,1.0,-0.0036892986,C16orf78,-13.904975,1.0,-0.0017098014,KRTAP22-1,-16.262709,1.0,-0.0028111064,ERC2,-15.671223,1.0,-0.0032914362,HAO1,-15.108825,1.0,-0.0017421474,SYMPK,0.35691035,1.0,0.5288915,SPAM1,-16.208544,1.0,-0.0016414863,HIKESHI,0.7092656,0.005353624876524528,3.1763656,ARV1,0.4194796,2.42336078128094e-31,11.778933,TMEM106C,0.10048245,6.297156802748911e-48,14.65417,LONP1,0.20807424,5.086125283336316e-18,8.818448,ING2,0.3982032,3.0451990231175646e-35,12.5153265,MAS1,-17.512718,1.0,-0.0075694616,FOXB2,0.0,1.0,0.0,OR5L1,-17.946283,1.0,-0.0028873899,DIO3,-17.01816,1.0,-0.0016199717,ACTL9,-10.577012,1.0,-0.00046900185,NGEF,-15.969855,1.0,-0.004588405
QRICH1,0.023392733,0.0853273376909582,2.0624285,TAAR6,0.0,1.0,0.0,ECHS1,0.10851678,2.1004171883654737e-05,4.4542046,TEX13B,-16.319836,1.0,-0.0036892986,SST,-14.764121,1.0,-0.0017098014,EGFL6,-14.489718,1.0,-0.0028111064,LSMEM2,-16.736841,1.0,-0.0032914362,KRT20,-13.013486,1.0,-0.0017421474,GDF6,0.45798537,1.0,0.5284418,IGDCC3,-15.242979,1.0,-0.0016414863,GOLGA1,0.2840724,0.005376723102126479,3.1749437,PTDSS1,0.24769898,2.4245390513074164e-31,11.77887,PPID,0.2475416,6.626362871759432e-48,14.650689,ZRANB2,0.30013508,5.195651522118485e-18,8.816035,CWC15,0.36463073,3.156931907890062e-35,12.512444,AWAT2,-16.604942,1.0,-0.0075694616,AP000552.4,0.0,1.0,0.0,PYY,-17.049484,1.0,-0.0028873899,C11orf16,-17.480383,1.0,-0.0016199717,MAGEB1,-13.911823,1.0,-0.00046900185,FAM170B,-16.400236,1.0,-0.004588405
VSIG10L,1.3087738,0.08599247922477253,2.0590804,KRTAP19-2,0.0,1.0,0.0,ZNF804A,1.8823245,2.191452643542964e-05,4.4448543,FAM24A,-15.168617,1.0,-0.0036892986,SPATA16,-15.245403,1.0,-0.0017098014,KRTAP6-2,-15.714869,1.0,-0.0028111064,PRODH2,-15.97138,1.0,-0.0032914362,ANKRD30BL,-15.246584,1.0,-0.0017421474,FBXO21,0.55720407,1.0,0.5280594,DEFB131B,-14.596654,1.0,-0.0016414863,PTPRQ,1.0948704,0.005385742162876682,3.1743717,E2F3,0.2311086,2.485014357085186e-31,11.77677,KMT5B,0.22857367,7.290638256039634e-48,14.64416,UQCRC2,0.33698374,5.213078360494601e-18,8.815633,HACD2,0.48921207,3.185082746431357e-35,12.511717,CHRNB2,-15.79077,1.0,-0.0075694616,NRSN1,0.0,1.0,0.0,OR6Q1,-17.23677,1.0,-0.0028873899,WFDC5,-17.315075,1.0,-0.0016199717,KPNA7,-13.937511,1.0,-0.00046900185,LBHD2,-17.075079,1.0,-0.004588405
DCDC2,2.2760324,0.08649054616634676,2.0564997,TBC1D21,0.0,1.0,0.0,SIPA1L3,0.4386561,2.194605241319068e-05,4.4445157,IFNA16,-15.354266,1.0,-0.0036892986,TACR3,-15.417352,1.0,-0.0017098014,CCL11,-16.154526,1.0,-0.0028111064,PGA5,-17.188116,1.0,-0.0032914362,OR10A4,-16.169477,1.0,-0.0017421474,AGK,0.4100523,1.0,0.52788347,MT4,-16.678988,1.0,-0.0016414863,CRTAP,0.15598145,0.005385742162876682,3.1743324,TBKBP1,0.8179941,2.609619016304805e-31,11.772621,RAMAC,0.5070923,7.376876233992167e-48,14.643342,ZNF569,1.017061,5.2543139291739324e-18,8.814695,AKAP12,0.2295013,3.347116931680366e-35,12.507753,LGI2,-15.50082,1.0,-0.0075694616,CYLC1,0.0,1.0,0.0,OR4S2,-16.825275,1.0,-0.0028873899,CLPS,-16.007027,1.0,-0.0016199717,CPA6,-11.1442,1.0,-0.00046900185,SVOP,-16.087934,1.0,-0.004588405
SLC35A4,0.13106218,0.08650465213547967,2.056333,RGSL1,0.0,1.0,0.0,TGFB1,0.07102999,2.2380606067305682e-05,4.44015,C3orf56,-14.410221,1.0,-0.0036892986,OR12D3,-15.245403,1.0,-0.0017098014,GRHL2,-14.489718,1.0,-0.0028111064,LRRC10B,-15.264467,1.0,-0.0032914362,ZFR2,-14.916842,1.0,-0.0017421474,GALNT2,0.13472915,1.0,0.5270992,CYP4A11,-16.678988,1.0,-0.0016414863,PLEKHA8,0.4801524,0.005394968664083146,3.173665,PLXNA2,0.6944272,2.6120672920439077e-31,11.77252,CEPT1,0.18254672,7.565780424009574e-48,14.641604,SP1,0.18656094,5.542873641199789e-18,8.808677,SHOX2,2.3829286,3.5626067051656217e-35,12.502773,IGFN1,-18.094574,1.0,-0.0075694616,PSG6,0.0,1.0,0.0,CPNE6,-17.391405,1.0,-0.0028873899,CHGA,-17.028105,1.0,-0.0016199717,ARX,-14.368464,1.0,-0.00046900185,AZGP1,-17.058153,1.0,-0.004588405
HEY1,0.6232869,0.08670479388887277,2.0552301,KRTAP10-1,0.0,1.0,0.0,ARHGEF7,0.35355398,2.267666993894653e-05,4.4372616,ZSCAN10,-13.756569,1.0,-0.0036892986,FUT9,-14.383162,1.0,-0.0017098014,OR1A1,-16.262709,1.0,-0.0028111064,C19orf67,-13.576976,1.0,-0.0032914362,OR2D3,-15.246584,1.0,-0.0017421474,ZC4H2,0.57724935,1.0,0.52692753,MT1H,-16.165873,1.0,-0.0016414863,TEFM,0.56894594,0.005406631841426979,3.1728733,YAE1,0.6222603,2.6299196158086836e-31,11.771923,CC2D1A,0.49322107,7.889101282203925e-48,14.638741,PIK3CA,0.41019604,5.655421864651995e-18,8.806396,TMEM165,0.44011497,3.568977795497077e-35,12.50261,TMPRSS12,-17.163065,1.0,-0.0075694616,GSG1L2,0.0,1.0,0.0,DEFB121,-17.81858,1.0,-0.0028873899,LRFN2,-17.58911,1.0,-0.0016199717,SMYD1,-16.711807,1.0,-0.00046900185,WFDC2,-17.965368,1.0,-0.004588405
ACACB,0.52228624,0.08682521056815558,2.0546074,CST9L,0.0,1.0,0.0,THOC6,0.13128388,2.3084584150684734e-05,4.4333916,MAGEA9B,-15.168617,1.0,-0.0036892986,TSPAN19,-15.245403,1.0,-0.0017098014,ADAD2,-15.9213915,1.0,-0.0028111064,MS4A12,-15.990829,1.0,-0.0032914362,KRT26,-15.246584,1.0,-0.0017421474,IGFBPL1,1.1798377,1.0,0.52574354,TSGA13,-15.242979,1.0,-0.0016414863,FAM133B,0.26432127,0.005443663126260245,3.170776,ZNF512,0.4304907,2.702480467833524e-31,11.769586,EIF3L,0.26087457,8.618904352733924e-48,14.632705,RTF2,0.17646208,5.7365087166005254e-18,8.804771,NDUFS2,0.34231994,3.6933892433707555e-35,12.499865,FGF8,-17.088392,1.0,-0.0075694616,DNAH9,0.0,1.0,0.0,PHGR1,-17.724655,1.0,-0.0028873899,PXT1,-15.561222,1.0,-0.0016199717,SULT1C3,-15.216513,1.0,-0.00046900185,TEX54,-18.258627,1.0,-0.004588405
PRRG4,1.1973886,0.0870747776165952,2.0533226,OR7G2,0.0,1.0,0.0,GLRX2,0.27013245,2.3170917704228266e-05,4.4325275,SLC6A20,-14.546842,1.0,-0.0036892986,ARX,-14.397354,1.0,-0.0017098014,SPDYA,-10.797398,1.0,-0.0028111064,PYY,-17.05246,1.0,-0.0032914362,CFHR3,-15.671577,1.0,-0.0017421474,NDUFAF6,0.4747757,1.0,0.5249223,KLF14,-16.14033,1.0,-0.0016414863,ALG3,0.31385052,0.00549309282671346,3.1680338,SMAP1,0.2709574,2.702480467833524e-31,11.769582,GDE1,0.319392,8.68407135815676e-48,14.632174,TCEA3,1.3750682,5.829014937988245e-18,8.80295,PCCA,0.585401,3.862728075928837e-35,12.496278,PLA2G2A,-17.371317,1.0,-0.0075694616,KCNT1,0.0,1.0,0.0,SOST,-16.60113,1.0,-0.0028873899,OR5K3,-17.063198,1.0,-0.0016199717,SFTPB,-14.171576,1.0,-0.00046900185,CALHM4,-16.996948,1.0,-0.004588405
MDP1,0.39509067,0.08722030017764737,2.0525334,TEX13C,0.0,1.0,0.0,PDE6G,1.0749156,2.3639485026541674e-05,4.4281216,KIF2B,-15.434816,1.0,-0.0036892986,PP2D1,-15.245403,1.0,-0.0017098014,KRTAP6-3,-15.911833,1.0,-0.0028111064,GPR32,-17.113157,1.0,-0.0032914362,RAB6C,-14.828083,1.0,-0.0017421474,FAM83F,2.4571004,1.0,0.5240098,NXPE1,-16.714933,1.0,-0.0016414863,KLHL42,0.4400852,0.005532557350166837,3.165837,ZNF12,0.6160911,2.7050739903566604e-31,11.769478,NRP1,0.37848505,9.149471923222634e-48,14.628584,TMEM65,0.9506192,5.877506381268426e-18,8.801993,PHGDH,0.49655035,3.90153446316008e-35,12.495461,TMEM40,-19.10254,1.0,-0.0075694616,PRR29,2.9741874,1.0,-0.0005344965,PAH,-17.084627,1.0,-0.0028873899,OR5H6,-16.696686,1.0,-0.0016199717,RXFP4,-13.209915,1.0,-0.00046900185,MS4A6E,-17.364908,1.0,-0.004588405
BCAT1,0.13711916,0.08747683636881323,2.05122,TAAR5,0.0,1.0,0.0,HGS,0.067621455,2.3988120077611423e-05,4.4248433,CRHR1,-16.319836,1.0,-0.0036892986,MOGAT3,-12.306099,1.0,-0.0017098014,TAS2R42,-16.262709,1.0,-0.0028111064,IQCF1,-14.859849,1.0,-0.0032914362,KRTAP4-6,-14.666466,1.0,-0.0017421474,SLC6A17,2.2672336,1.0,0.5238708,FGF3,-11.547555,1.0,-0.0016414863,EME1,2.5766685,0.005542507930744943,3.1652565,HINT3,0.25260857,3.0314927937009765e-31,11.75984,SNAP23,0.23621449,9.664072766367322e-48,14.624842,ACAD9,0.35054305,5.888344449560722e-18,8.80176,JADE1,0.5936046,4.026630890438115e-35,12.492929,CKMT2,-16.81078,1.0,-0.0075694616,TMEM121B,1.4222918,1.0,-0.0005344965,KHDC3L,-16.771713,1.0,-0.0028873899,SPINT3,-16.427507,1.0,-0.0016199717,ACTL6B,-16.664915,1.0,-0.00046900185,C2CD4A,-17.049904,1.0,-0.004588405
IL4R,0.24847806,0.08809113023208968,2.0481262,FCRL4,0.0,1.0,0.0,TRNAU1AP,0.29609033,2.444237478652254e-05,4.4207325,FAM169B,-13.641401,1.0,-0.0036892986,IQCF2,-16.21097,1.0,-0.0017098014,GLRA2,-11.963135,1.0,-0.0028111064,FBXW12,-15.343501,1.0,-0.0032914362,OR5AS1,-15.060936,1.0,-0.0017421474,RTRAF,0.088397674,1.0,0.5234819,FOXE3,-14.433337,1.0,-0.0016414863,MED22,0.50980395,0.005575981183442775,3.1633892,CDK6,0.3612884,3.0438050362017095e-31,11.759476,ZDHHC12,0.23114593,9.706813117462072e-48,14.624523,IP6K2,0.47000983,6.175797293096371e-18,8.796383,HMGN4,0.22201289,4.644597444294742e-35,12.481524,TEX26,-15.933063,1.0,-0.0075694616,TAL2,2.2171884,1.0,-0.000541438,APOBEC2,-17.232338,1.0,-0.0028873899,GLP1R,-13.35353,1.0,-0.0016199717,SMPX,-15.216513,1.0,-0.00046900185,FMR1NB,-17.525833,1.0,-0.004588405
KHK,1.0817343,0.08905832742069045,2.0434031,GGTLC1,0.0,1.0,0.0,MTMR3,0.1613972,2.4448156059562e-05,4.4206514,PSMB11,-15.354266,1.0,-0.0036892986,PIRT,-14.185655,1.0,-0.0017098014,AC138647.1,-13.566269,1.0,-0.0028111064,SLC10A2,-17.287073,1.0,-0.0032914362,NPVF,-15.246584,1.0,-0.0017421474,PRDM15,1.0618182,1.0,0.5234363,STRA8,-14.949265,1.0,-0.0016414863,PLEKHG2,0.61788195,0.00558978207362579,3.162612,TMEM126A,0.32380795,3.1959969227440315e-31,11.755333,TEX264,0.32498363,9.832801491621278e-48,14.623627,CLCC1,0.47851062,6.366780978230414e-18,8.792936,SRCAP,0.26324594,4.7659063366337707e-35,12.47945,COL2A1,-17.608597,1.0,-0.0075694616,SLC25A27,1.7230068,1.0,-0.00054837955,C12orf40,-17.372347,1.0,-0.0028873899,TRPM1,-13.525765,1.0,-0.0016199717,SNTG1,-14.860588,1.0,-0.00046900185,TP53AIP1,-17.980776,1.0,-0.004588405
GIT2,0.13950962,0.08906835431195798,2.0433068,CT47B1,0.0,1.0,0.0,PIAS2,0.18083622,2.46186946628354e-05,4.41912,UROC1,-15.319199,1.0,-0.0036892986,OR9K2,-15.245403,1.0,-0.0017098014,KRTAP6-1,-13.028509,1.0,-0.0028111064,MYO16,-15.325827,1.0,-0.0032914362,POF1B,-16.460546,1.0,-0.0017421474,SLC35G1,0.8052781,1.0,0.522274,PBOV1,-15.242979,1.0,-0.0016414863,CCNE2,1.3687727,0.005646155675429707,3.1596317,IFITM2,-0.0049912147,3.2596930128167336e-31,11.753643,DBT,0.55486983,9.940619372824497e-48,14.622866,EPHB3,1.6924925,6.4230522137575644e-18,8.791921,JTB,0.37888125,4.769029656590563e-35,12.479376,OLIG2,-18.400446,1.0,-0.0075694616,RCVRN,1.5020154,1.0,-0.00054837955,GDPD2,-15.660773,1.0,-0.0028873899,GOLGA8O,-16.63383,1.0,-0.0016199717,NPBWR1,-16.621508,1.0,-0.00046900185,KCTD19,-17.496866,1.0,-0.004588405
NDUFA6,0.07756068,0.08964361088340247,2.0404367,CSTL1,0.0,1.0,0.0,GSKIP,0.4025587,2.5027575811866486e-05,4.4154096,TCHHL1,-15.049266,1.0,-0.0036892986,CRHR1,-16.21097,1.0,-0.0017098014,KRTAP4-11,-15.481517,1.0,-0.0028111064,MCHR1,-15.456899,1.0,-0.0032914362,IZUMO3,-15.246584,1.0,-0.0017421474,OCLN,0.9286549,1.0,0.52173525,FGF4,-15.857668,1.0,-0.0016414863,FAM50A,0.106775865,0.005688161179225659,3.157356,CMAS,0.23259082,3.492756209557212e-31,11.747786,TLCD3A,0.5292722,1.0176690212053073e-47,14.621249,WDR26,0.20835736,6.634120855927605e-18,8.788261,TNRC6B,0.27130985,4.847165871081197e-35,12.478061,KRTAP7-1,-16.347239,1.0,-0.0075694616,SF3B1,1.8083096,1.0,-0.0007010928,SLC36A2,-17.261042,1.0,-0.0028873899,FOXA3,-16.214676,1.0,-0.0016199717,SPRR5,-15.547962,1.0,-0.00046900185,IL9,-17.581678,1.0,-0.004588405
IMPA1,0.18874113,0.09107511232458308,2.0336528,ZAN,0.0,1.0,0.0,WWOX,0.33192,2.645255607511225e-05,4.4032383,MSLNL,-12.411052,1.0,-0.0036892986,HYAL4,-15.778448,1.0,-0.0017098014,TNP1,-16.262709,1.0,-0.0028111064,BNIP5,-16.942553,1.0,-0.0032914362,NXNL1,-15.349371,1.0,-0.0017421474,MED16,0.7697622,1.0,0.5215006,CLVS2,-12.403428,1.0,-0.0016414863,GPR3,1.9432224,0.005713572959638343,3.1559985,GAS2L1,0.7269756,3.637118760870266e-31,11.74434,NDUFA11,0.41807953,1.094921453868562e-47,14.616248,EXOC7,0.28066275,6.8204120058764335e-18,8.785121,DNAJC2,0.27088755,4.862762819464551e-35,12.477783,GLB1L3,-18.209967,1.0,-0.0075694616,SYCP3,1.848781,1.0,-0.0007635664,HTR4,-15.854608,1.0,-0.0028873899,POU1F1,-15.982518,1.0,-0.0016199717,EGFL6,-14.409092,1.0,-0.00046900185,C12orf74,-17.844559,1.0,-0.004588405
H6PD,0.49633193,0.09138839563440446,2.0320237,LYPD4,0.0,1.0,0.0,BRPF3,0.414767,2.650811316770916e-05,4.4027534,LRRC19,-15.085792,1.0,-0.0036892986,QRFPR,-16.21097,1.0,-0.0017098014,SCRT1,-15.725309,1.0,-0.0028111064,OR5AN1,-16.989754,1.0,-0.0032914362,G6PC2,-14.537624,1.0,-0.0017421474,NFATC2,1.0146447,1.0,0.52089226,TBX10,-15.348452,1.0,-0.0016414863,PHF3,0.14732938,0.005724796410499996,3.1553683,SRF,0.28686965,3.6396640126243856e-31,11.744258,CHMP2A,0.38146102,1.1644661983584377e-47,14.612036,LEO1,0.10712571,7.174334718187954e-18,8.779379,NBEAL1,0.98376006,4.962040830364649e-35,12.476151,MAPK15,-16.468204,1.0,-0.0075694616,RASD1,1.2916346,1.0,-0.00091627974,DPP10,-16.22194,1.0,-0.0028873899,DGKK,-16.532616,1.0,-0.0016199717,LCE1A,-15.7503395,1.0,-0.00046900185,ZIM2,-17.224655,1.0,-0.004588405
TMEM70,0.41472542,0.09140583215211821,2.0318942,RAX2,0.0,1.0,0.0,ATP7A,0.79601693,2.6710490886556396e-05,4.401074,EFCAB3,-15.661049,1.0,-0.0036892986,C1orf232,-11.77333,1.0,-0.0017098014,KRTAP27-1,-15.4680605,1.0,-0.0028111064,HIGD1C,-17.05521,1.0,-0.0032914362,KRT35,-11.77451,1.0,-0.0017421474,IFT172,0.776162,1.0,0.52078146,OR56A3,-15.242979,1.0,-0.0016414863,LAS1L,0.4809837,0.005815925150262807,3.1506429,ASCC1,0.62711596,3.7056074237367464e-31,11.742717,EIF3B,0.34080154,1.1885499321054004e-47,14.610622,SEC16A,0.3079921,7.325597933218277e-18,8.777004,LSG1,0.3133067,5.103724601958382e-35,12.473887,REN,-15.764477,1.0,-0.0075694616,NKX6-3,-14.936418,1.0,-0.0017492613,PRAMEF18,-17.189346,1.0,-0.0028873899,EPHA8,-17.192272,1.0,-0.0016199717,CRCT1,-16.652521,1.0,-0.00046900185,ADGRV1,-16.832197,1.0,-0.004588405
NSUN4,0.19953859,0.09174150760858628,2.0300677,CYP2F1,0.0,1.0,0.0,VAMP1,0.4736631,2.686195366421062e-05,4.3997874,TOPAZ1,-10.840529,1.0,-0.0036892986,SULT2A1,-10.867578,1.0,-0.0017098014,GPR182,-15.297142,1.0,-0.0028111064,PRKAG3,-16.713717,1.0,-0.0032914362,ZDHHC22,-16.725931,1.0,-0.0017421474,GPX8,0.016264774,1.0,0.52070326,OR8B2,-14.811103,1.0,-0.0016414863,PNO1,0.38120553,0.005831564802838943,3.1497145,SERPING1,0.29339904,3.716885320147399e-31,11.742437,EVA1B,0.79295665,1.3291256093609173e-47,14.602986,UBE2E1,0.2706272,7.445093164035915e-18,8.775156,PIK3C2A,0.52221644,5.12296640788458e-35,12.473566,LMNTD1,-16.206844,1.0,-0.0075694616,SLC30A8,-16.612263,1.0,-0.0017492613,SNX31,-16.385532,1.0,-0.0028873899,IL17A,-17.062782,1.0,-0.0016199717,LRRTM1,-15.216513,1.0,-0.00046900185,ZIC5,-17.220335,1.0,-0.004588405
VWF,2.020776,0.09206359823909643,2.028557,CNTN4,0.0,1.0,0.0,ARID3B,0.16849545,2.7447864810426857e-05,4.3949833,SPATA31A6,-15.354266,1.0,-0.0036892986,OR12D2,-15.245403,1.0,-0.0017098014,SCGB2B2,-13.14567,1.0,-0.0028111064,CELF3,-17.179909,1.0,-0.0032914362,NGB,-16.21215,1.0,-0.0017421474,TUBA1C,0.11694234,1.0,0.51998854,TLE7,-14.9657345,1.0,-0.0016414863,RAB5C,0.11600133,0.005831564802838943,3.1496854,MALT1,0.10572535,3.903632245412595e-31,11.73827,KRAS,0.26775476,1.5008771358225478e-47,14.594682,R3HDM4,0.15870097,7.598678289046097e-18,8.772831,SNX4,0.32350084,5.185117142734299e-35,12.472584,SLC15A5,-15.120111,1.0,-0.0075694616,KRT84,-15.682665,1.0,-0.0017492613,CCL16,-17.205965,1.0,-0.0028873899,OR5V1,-16.975391,1.0,-0.0016199717,XKR4,-15.216513,1.0,-0.00046900185,RXRG,-17.611559,1.0,-0.004588405
YIPF6,0.07192222,0.09272386590685949,2.025426,AC005551.1,0.0,1.0,0.0,LLPH,0.20729806,2.7550232717619496e-05,4.3940854,TMEM196,-14.6354,1.0,-0.0036892986,PRR23C,-15.346728,1.0,-0.0017098014,PBOV1,-15.297142,1.0,-0.0028111064,NCBP2L,-16.96331,1.0,-0.0032914362,JPH3,-11.369441,1.0,-0.0017421474,GPBP1,0.19703943,1.0,0.51985383,OR10G4,-15.240057,1.0,-0.0016414863,USF1,0.5174285,0.005834096299866256,3.1495008,DKC1,0.1509127,3.984736995171104e-31,11.736507,COQ6,0.44500315,1.5129471815443626e-47,14.594116,NME7,0.64984435,7.680398228948477e-18,8.7716,PTGR1,0.53516954,5.248806386405672e-35,12.471589,COL20A1,-18.2328,1.0,-0.0075694616,KLF14,-16.144197,1.0,-0.0017492613,GPR61,-17.150877,1.0,-0.0028873899,OR51F2,-15.319932,1.0,-0.0016199717,MAGEA12,-14.156765,1.0,-0.00046900185,CLEC4M,-16.560635,1.0,-0.004588405
HSF4,1.7466185,0.09305723197463514,2.0238276,HSFX3,0.0,1.0,0.0,ADPRHL2,0.47544602,2.758016318963343e-05,4.39382,IZUMO3,-15.354266,1.0,-0.0036892986,NCR2,-15.286322,1.0,-0.0017098014,TLE7,-15.019897,1.0,-0.0028111064,CNTNAP3,-14.7966385,1.0,-0.0032914362,TGM6,-15.3520565,1.0,-0.0017421474,RIMS3,2.3678212,1.0,0.5182548,OR2D3,-15.242979,1.0,-0.0016414863,ORMDL3,0.13298848,0.005840562961671013,3.1491196,THAP12,0.19909607,4.0657702149666004e-31,11.734781,VMA21,0.26506683,1.6751484349594538e-47,14.58715,B4GALT1,0.30925697,7.704062900991072e-18,8.771199,WNK4,1.9889641,5.372446234900006e-35,12.469712,C19orf71,-17.79725,1.0,-0.0075694616,ASIC2,-13.944408,1.0,-0.0017492613,TMEM212,-16.961893,1.0,-0.0028873899,TFAP2D,-15.869813,1.0,-0.0016199717,RHBG,-16.161024,1.0,-0.00046900185,B3GAT1,-18.532034,1.0,-0.004588405
SNX19,0.21197443,0.09336121435232787,2.022411,KRTAP19-5,0.0,1.0,0.0,SETD9,1.0778767,2.8217070098816577e-05,4.3887672,NKX1-2,-14.743629,1.0,-0.0036892986,FAM169B,-13.532546,1.0,-0.0017098014,SOX3,-16.550428,1.0,-0.0028111064,OOSP4B,-17.851128,1.0,-0.0032914362,KRT38,-11.044071,1.0,-0.0017421474,PGAP2,0.66958183,1.0,0.51749444,LIN28B,-15.857668,1.0,-0.0016414863,MSTO1,0.38558003,0.005916348260718824,3.1451194,TAOK2,0.42007676,4.2789843196535285e-31,11.730433,GOLGA7,0.41672966,1.7332457905167575e-47,14.584805,ATG101,0.30530497,7.7778604084526e-18,8.770099,CACNA1C,1.2517931,5.651198056111676e-35,12.465659,ADRB1,-18.288925,1.0,-0.0075694616,APOH,-13.452306,1.0,-0.0017492613,ERICH4,-17.930317,1.0,-0.0028873899,TBPL2,-15.917019,1.0,-0.0016199717,HMGCS2,-15.216513,1.0,-0.00046900185,FSHB,-16.657774,1.0,-0.004588405
ZSCAN31,0.48345315,0.09401212403054537,2.0192099,HTR1A,0.0,1.0,0.0,TAF4,0.5538073,2.841440722412206e-05,4.3872213,SRMS,-13.824514,1.0,-0.0036892986,SNTG1,-14.889478,1.0,-0.0017098014,KRT35,-11.825054,1.0,-0.0028111064,GALR3,-16.537283,1.0,-0.0032914362,KRT37,-15.248836,1.0,-0.0017421474,CENPC,0.68757385,1.0,0.5170969,MCHR2,-14.662861,1.0,-0.0016414863,SLC35D1,0.45772812,0.005923443470572314,3.1447113,FARP2,0.5317952,4.347278223042722e-31,11.729071,SLC35A2,0.820458,1.7527041776053299e-47,14.584024,JPT1,0.75122947,7.883545507164117e-18,8.768552,PRKAR1B,0.88964844,5.759967056395491e-35,12.464117,KLHL38,-16.756369,1.0,-0.0075694616,CCL11,-16.104229,1.0,-0.0017492613,MOBP,-16.643593,1.0,-0.0028873899,OTC,-15.330584,1.0,-0.0016199717,SPRR2F,-16.306974,1.0,-0.00046900185,RBFOX3,-17.63962,1.0,-0.004588405
ERI2,0.4823641,0.0951817689214261,2.0138426,CLEC3A,0.0,1.0,0.0,WAPL,0.31585175,2.844847928795596e-05,4.386931,SPATA31A1,-15.354266,1.0,-0.0036892986,OR2H2,-15.059755,1.0,-0.0017098014,KRT38,-11.094605,1.0,-0.0028111064,GPHB5,-16.632458,1.0,-0.0032914362,AL451007.3,-11.802161,1.0,-0.0017421474,FCRLA,1.8865559,1.0,0.5168405,OR10G8,-14.479192,1.0,-0.0016414863,POLR3F,0.40522513,0.0059512123706909215,3.1432273,ACAT1,0.33988515,4.4306874003944045e-31,11.72744,ZNF558,0.7443582,1.7566234769596817e-47,14.583853,MXRA5,1.2746979,8.065585334979645e-18,8.765953,NFS1,0.67877245,5.94272247370878e-35,12.461584,MEOX1,-18.950275,1.0,-0.0075694616,MUC4,-16.00624,1.0,-0.0017492613,OR8U1,-16.703638,1.0,-0.0028873899,OR51A7,-16.604975,1.0,-0.0016199717,B3GNT3,-16.478304,1.0,-0.00046900185,TRIM31,-17.398605,1.0,-0.004588405
