C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score
LGALS3BP,2.3927786,3.4337620898440335e-237,33.085857,MICAL1,1.7171164,1.327340013535289e-36,12.989174,CALR,1.3485392,3.736900386126016e-108,22.356068,SLC18A2,5.2532506,0.0,52.361485,MSN,1.0425273,5.499767731316979e-81,19.338356,SOAT1,1.6722008,0.0,38.73974,TMSB4X,0.65862274,4.607505390452328e-54,15.892565,DYSF,2.5974367,4.3440398406198266e-198,30.24281,HIPK2,3.1377637,0.00946253563959434,4.309579,METRNL,1.529604,1.7877109401481713e-24,10.643465,COL1A1,7.4317718,9.99091152220265e-22,10.194434
A2M,2.9154253,4.731256649523502e-230,32.584488,AHNAK,1.4935454,2.903831065888013e-36,12.928719,TTC3,1.822282,2.1658471969272577e-105,22.068485,IL1RL1,4.837331,0.0,52.190395,SIGLEC6,2.397348,1.239389177291653e-75,18.683178,SLCO2B1,1.8251629,0.0,38.11274,ZWINT,3.801133,1.2724761837940643e-53,15.826559,CCL3L1,3.3194542,1.209597336114509e-192,29.82463,NFE2,6.110864,0.009949956987364386,4.279764,ADGRG3,4.1281223,2.3228152708423497e-24,10.615744,HTRA1,9.469209,2.7228263449672502e-21,10.091515
TFRC,1.9746919,7.860731096356986e-230,32.56776,CDK5RAP3,2.6517272,5.414656578511142e-36,12.87953,ARF1,1.2377692,7.64841143004668e-105,22.009678,ARHGEF6,4.028602,0.0,50.97965,DUSP6,2.3859446,1.9333051175638315e-72,18.281836,APP,1.5880548,0.0,38.10517,PLK1,6.146692,5.013526706604643e-53,15.737884,MARCKS,2.4499905,1.3487678384173478e-192,29.819807,NLK,4.557169,0.02275870525220767,4.0370765,CKAP4,2.9283867,1.4884227001133955e-22,10.206617,CNN3,8.624509,3.3587662121917464e-21,10.066093
ANXA2,1.5891671,1.2344356749804091e-225,32.26889,PLK3,1.536174,3.710707921890262e-35,12.725479,AGPS,1.0933782,1.203868430465981e-102,21.776669,DUSP4,5.538101,0.0,50.773586,AKAP12,3.4871106,3.8391172732155547e-72,18.242397,GRINA,1.2207286,0.0,37.918457,FOXM1,4.4100027,1.2245710839321875e-50,15.381836,TPP1,1.4134588,5.828256453814649e-187,29.380772,JUNB,2.0536742,0.03132869686737004,3.91123,BCL2A1,1.0367843,3.4323268725660887e-20,9.640892,COL3A1,10.123125,3.415250637703895e-21,10.062137
MMP2,1.969064,4.884397075551332e-220,31.866274,INF2,2.1928828,1.0027792050485524e-33,12.458389,TDRD3,1.3728535,1.3844994449920422e-102,21.769478,ITGA2B,4.9519033,0.0,50.328285,PALM2-AKAP2,1.7998954,2.336887605629195e-69,17.883814,CTSS,1.7113758,0.0,37.894478,CKAP2,3.4598413,2.6203901821942266e-50,15.330509,IL1B,2.1274476,1.7722015239387449e-186,29.341824,GNAZ,13.981599,0.0362771306114385,3.831121,FTL,0.71528023,7.713151821902346e-20,9.551734,CCND1,7.9269314,5.564694734753649e-21,10.011698
SLC15A3,1.6030959,1.2518085766865341e-219,31.835693,SAT1,1.7422048,1.4848885704088887e-33,12.426337,MAF1,1.3575087,3.35607970786721e-101,21.62131,CREM,3.1003432,0.0,50.285442,CST7,2.048333,2.4260531608675196e-68,17.751534,CYBB,1.7212356,3.513166410664152e-306,37.57348,CENPF,4.862895,4.193757617753252e-50,15.297989,PDE4B,2.429477,8.077335066228801e-181,28.893776,MMRN1,12.114163,0.0362771306114385,3.8298032,SAMSN1,1.5597574,5.970357764650378e-19,9.32631,COL6A3,7.77898,7.081724042468748e-21,9.985595
ADA2,2.0887191,2.1731245795336912e-218,31.74497,MAP2K3,1.8559295,1.7053289359638262e-33,12.414569,TDP2,1.5679469,6.93548003371572e-101,21.587032,FAM102A,5.454332,0.0,50.24393,PLPP1,3.6838555,7.444205909505426e-66,17.424335,CCL18,2.2405825,4.693835545733714e-305,37.503597,CENPM,4.515903,8.442602387812675e-50,15.250484,ETS2,1.7713294,2.5569266152157137e-170,28.044464,GP6,11.663991,0.0362771306114385,3.8288698,TMEM154,2.672147,9.430986329375798e-19,9.274858,SERPINE2,6.9153466,9.03578888010414e-21,9.959216
C1QC,2.6117578,2.513899220435133e-217,31.666828,MAP7D1,1.3975563,3.470149470420537e-33,12.354504,TRAM1,1.5859063,7.103484815105237e-101,21.585186,BACE2,4.86332,0.0,49.913605,NDFIP2,2.643218,4.1419505223192655e-63,17.053795,ADGRE3,2.0972736,3.784135423658636e-303,37.3856,DLGAP5,5.6696754,5.304883607623461e-49,15.12635,IL3RA,1.8130379,1.0195460344216588e-168,27.91183,TC2N,11.06063,0.0362771306114385,3.828156,CCL4,1.8583846,1.1847048309983936e-18,9.249236,CRYAB,10.418118,1.7045893017789172e-20,9.891652
SCD,2.0086138,3.1621637589752347e-214,31.439886,CD44,0.8213294,4.2184462497527084e-32,12.146734,COPG1,1.5514627,6.061530970733394e-100,21.483683,NR4A1,3.427118,0.0,49.594734,TYMS,4.4595613,5.603978123678521e-63,17.035711,SLC7A7,1.5534341,7.453273531459113e-301,37.243298,MNDA,1.7036207,1.9456509946958255e-48,15.038801,MCL1,1.2442226,1.3326024577243015e-168,27.901209,PDE5A,10.320597,0.0362771306114385,3.8242576,CD300LB,6.074304,2.6956903826222107e-18,9.15548,FKBP10,9.247722,1.925885164446356e-20,9.87574
LGMN,3.7645545,1.067371748715172e-211,31.253405,ATP2B1,1.9126908,5.668514100534685e-32,12.1222,ZNF385A,2.672515,2.058013368236451e-98,21.317938,RASSF5,2.4436452,0.0,49.059673,CYTIP,1.8154643,9.21560563023174e-62,16.86871,MCEMP1,1.7915286,1.6817117738569938e-300,37.220657,CKS1B,3.0273635,3.989204157402685e-46,14.67704,MAFB,2.4351442,1.55565186332109e-167,27.8121,ESAM,9.413524,0.0362771306114385,3.8214574,BHLHE40,0.9691834,6.129243268516247e-18,9.062246,DPYSL3,9.000591,1.9273839648814572e-20,9.873273
