Cluster,Gene,Score,Adjusted p-value
4,AURKB,-14.349199,1.180804771784808e-45
4,MAGED1,-14.351554,1.1420741974596348e-45
4,HSD17B10,-14.360898,9.986703037075967e-46
4,RAD51,-14.363912,9.567458242685055e-46
4,NUP107,-14.373228,8.3736175240125e-46
4,CYB5R3,-14.37462,8.211841499219688e-46
4,HEBP1,-14.405581,5.2547814751810176e-46
4,UBE2L6,-14.412528,4.760737642070589e-46
4,RFC2,-14.414367,4.638496678522048e-46
4,C1orf43,-14.416271,4.5150694392408726e-46
4,RECQL,-14.420333,4.259670873409626e-46
4,CNBP,-14.423263,4.085129607928015e-46
4,ST5,-14.440119,3.201234407222425e-46
4,MELK,-14.442063,3.1160312879721446e-46
4,MAPRE2,-14.45033,2.7670905305695756e-46
4,SOAT1,-14.470567,2.0672826026671533e-46
4,ZNF121,-14.472528,2.0104111104019884e-46
4,ALG8,-14.4829445,1.7298851735848615e-46
4,MAP4K5,-14.484677,1.6878478682854121e-46
4,TUBG1,-14.500291,1.3454613080614121e-46
4,CPSF6,-14.50286,1.296817901103493e-46
4,SETDB2,-14.507384,1.214823755489592e-46
4,CNDP2,-14.518,1.041263860350233e-46
4,GALNT1,-14.539321,7.646825457870351e-47
4,BCAP29,-14.53992,7.584851303114506e-47
4,RHOQ,-14.54882,6.664066853208401e-47
4,ADSL,-14.549848,6.568769765906588e-47
4,MAGED2,-14.553768,6.206701899484986e-47
4,ZNF22,-14.561688,5.531232536317775e-47
4,INO80E,-14.570895,4.837031846833614e-47
4,SLC16A1,-14.572473,4.729555940452083e-47
4,HTATSF1,-14.574916,4.566199359134046e-47
4,GRAMD4,-14.581681,4.138069472738396e-47
4,TCF25,-14.587717,3.790179630342437e-47
4,GAR1,-14.59199,3.562255046143681e-47
4,ATXN10,-14.609586,2.7570998696158237e-47
4,SF3B3,-14.613152,2.6181243889274506e-47
4,CIT,-14.623427,2.2528132709602814e-47
4,GRHPR,-14.634177,1.9247993043668687e-47
4,AKR1B1,-14.646295,1.615653095222706e-47
4,CUTA,-14.648352,1.5684658438450495e-47
4,SERPINB6,-14.652631,1.4736582388574e-47
4,SKA1,-14.654294,1.4389239609236773e-47
4,WWOX,-14.679331,9.9752359336783e-48
4,MAPK9,-14.679386,9.973409273198108e-48
4,TOMM20,-14.683161,9.439362563480187e-48
4,ZNF593,-14.683895,9.343625225488659e-48
4,AACS,-14.68649,8.998402645082648e-48
4,PSAT1,-14.692083,8.296068447494179e-48
4,AAAS,-14.697541,7.663521451722218e-48
4,GSS,-14.706195,6.752710600303719e-48
4,CCSAP,-14.708396,6.545003330800962e-48
4,CAMK1,-14.713788,6.047491922672548e-48
4,PIK3R2,-14.717328,5.742837496955149e-48
4,XPO5,-14.7202,5.507615798156904e-48
4,KIF2C,-14.72351,5.2478136884799964e-48
4,STRBP,-14.729205,4.83310318429777e-48
4,ORC1,-14.742406,3.98284134652598e-48
4,CYB5B,-14.743149,3.9417687905229114e-48
4,MMP14,-14.74771,3.6889880160743406e-48
4,DNAJC9,-14.7507925,3.526563008803467e-48
4,WBP11,-14.751244,3.50534416635344e-48
4,NSMF,-14.754715,3.331717741639081e-48
4,KLHDC3,-14.761721,3.006912574338719e-48
4,RNASEH1,-14.762891,2.9570872558139587e-48
4,KIF2A,-14.7636,2.928046790386958e-48
4,LRRC59,-14.766864,2.791456536962744e-48
4,EIF4A2,-14.782488,2.216609894459437e-48
4,RBM28,-14.784659,2.1476475278796737e-48
4,CENPF,-14.80045,1.7006761369651573e-48
4,ANAPC5,-14.80508,1.5885672767663715e-48
4,FANCD2,-14.820967,1.2549365627575983e-48
4,DNAJC15,-14.822651,1.2246541481348459e-48
4,SLC2A4RG,-14.8285,1.1232282374381245e-48
4,TSR1,-14.829929,1.1002721662770332e-48
4,TIMM9,-14.833565,1.0429536190473502e-48
4,TRIM8,-14.839284,9.58359794981726e-49
4,ALDH18A1,-14.843902,8.951852896534133e-49
4,NDUFB7,-14.84712,8.537953295231467e-49
4,AIMP2,-14.847228,8.529768021024708e-49
4,HADHA,-14.859135,7.15075206247456e-49
4,TIMM8B,-14.866578,6.402865796774974e-49
4,EMC7,-14.866853,6.385061182485269e-49
4,RDH10,-14.867348,6.342139593545844e-49
4,MEA1,-14.876303,5.558959381143453e-49
4,NUP43,-14.88614,4.8019976716208826e-49
4,SEMA7A,-14.895012,4.21355452023723e-49
4,DDX24,-14.902059,3.794343499695759e-49
4,MALSU1,-14.925046,2.6925120315802573e-49
4,SMIM30,-14.931662,2.4414538276949867e-49
4,POLA1,-14.945872,1.973922070065765e-49
4,PMVK,-14.95596,1.6975487376951216e-49
4,ESD,-14.959149,1.6191999145866393e-49
4,CLSPN,-14.970324,1.3697585701597192e-49
4,RNF187,-14.977635,1.2279300845865212e-49
4,ARHGAP11A,-14.984319,1.111192542123113e-49
4,PRPF8,-14.995901,9.34604238537107e-50
4,NDUFA2,-14.998665,8.970921384785658e-50
4,NR4A1,-15.009539,7.625125170543036e-50
4,TRIM24,-15.01932,6.588163822508591e-50
4,IER3IP1,-15.026391,5.925335657618487e-50
4,RFX5,-15.028243,5.765877451214797e-50
4,SMARCC1,-15.030932,5.540146976364741e-50
4,NDUFS6,-15.032497,5.414450089184555e-50
4,WDR34,-15.042881,4.631639864966774e-50
4,HADH,-15.047629,4.313835939002739e-50
4,PRPS2,-15.054495,3.891139721655818e-50
4,POLD2,-15.063102,3.418471901166449e-50
4,ATP6V0A2,-15.063712,3.389329749438608e-50
4,TENT4A,-15.068695,3.1473873581530366e-50
4,PPIF,-15.089612,2.2959025408324695e-50
4,PLPPR3,-15.090529,2.2657296261297646e-50
4,MASTL,-15.097137,2.0511453746009316e-50
4,CCDC88A,-15.099602,1.977238108090921e-50
4,CFDP1,-15.1142435,1.586568437567003e-50
4,NDUFB10,-15.134333,1.1701009458943401e-50
4,SLC25A33,-15.135771,1.1455789398354103e-50
4,SNRPE,-15.141689,1.0484105526205588e-50
4,USF2,-15.1552925,8.529927009946013e-51
4,SELENOH,-15.158843,8.086637367836123e-51
4,ADA2,-15.158882,8.086637367836123e-51
4,TCEAL8,-15.16441,7.439508658918113e-51
4,PWP1,-15.172022,6.629470965166941e-51
4,LMO4,-15.179502,5.923198738108518e-51
4,CDC25B,-15.180611,5.827917680622494e-51
4,ABCE1,-15.186058,5.366975008343085e-51
4,HMMR,-15.195509,4.6527112311105106e-51
4,ALG5,-15.200969,4.283602152001068e-51
4,APOE,-15.207384,3.891845646875174e-51
4,NAE1,-15.210815,3.6956257271400946e-51
4,LAIR1,-15.215655,3.434592995259709e-51
4,EEF2K,-15.223525,3.0494838074351116e-51
4,PRKACB,-15.226357,2.924258573572198e-51
4,UCKL1,-15.227997,2.853815467371779e-51
4,FAM136A,-15.2459755,2.1689369805333287e-51
4,CHEK1,-15.251446,1.9973855500769063e-51
4,PRIM2,-15.2606735,1.7352454282051722e-51
4,ECT2,-15.266662,1.5841431615052987e-51
4,PIGK,-15.276021,1.3732673473652944e-51
4,BAG1,-15.284307,1.2109827240104308e-51
4,TMED7,-15.289469,1.1194927517643094e-51
4,SELENOW,-15.3089485,8.305094480229197e-52
4,HPRT1,-15.309111,8.290156562810107e-52
4,PRC1,-15.323346,6.669171917703814e-52
